Col1,Col2,Actual,Predicted
-8382,1543,1,72
-8315,1493,1,1
-11282,1789,1,1
-11278,1722,1,1
-8369,1529,1,1
-11467,1479,1,1
-8912,-2414,2,2
-9263,-2899,2,2
-10362,-3325,2,2
-10054,-1515,2,2
-9021,-2755,2,2
-10050,-1746,2,2
-5577,1757,3,51
-7056,1698,3,3
-5476,1661,3,51
-5490,1649,3,51
-7360,1537,3,3
-5585,1672,3,51
-8091,919,4,5
-8147,777,4,4
-8229,778,4,4
-9580,-277,4,4
-8035,733,4,4
-7989,781,4,4
-10716,-304,5,5
-10731,-290,5,5
-10913,-505,5,5
-10689,-351,5,5
-11381,-723,5,5
-10944,-719,5,5
-4376,1587,6,17
-4529,1624,6,6
-4701,1429,6,3
-4043,1493,6,6
-4031,1495,6,6
-4047,1538,6,6
-7608,-153,7,7
-14315,-1305,7,7
-10803,-798,7,7
-14417,-550,7,7
-11976,-911,7,7
-14559,-382,7,7
-15977,-749,8,8
-19185,23,8,8
-13555,-387,8,8
-13397,-893,8,8
-13170,-1056,8,8
-13094,-410,8,8
-11021,1175,9,9
-12357,1538,9,9
-11355,1556,9,9
-12431,1498,9,9
-12683,1464,9,9
-12585,1717,9,9
-9551,-2895,10,10
-10323,-3996,10,44
-10436,-3257,10,10
-9670,-2966,10,10
-9603,-2282,10,10
-9556,-2292,10,10
-9165,1991,11,11
-9878,2030,11,64
-9654,664,11,46
-10498,-82,11,11
-8789,1779,11,11
-9316,2080,11,11
-8273,2363,12,12
-10565,2409,12,12
-8130,2358,12,12
-9855,2366,12,12
-11289,2574,12,12
-11752,2544,12,12
-8430,-631,13,13
-10217,-730,13,13
-9979,-384,13,13
-9482,-1015,13,13
-8353,-718,13,13
-9162,-518,13,13
-8069,1786,14,14
-6790,1413,14,14
-7790,1608,14,14
-7231,972,14,14
-7098,932,14,14
-6331,940,14,61
-17841,304,15,15
-17615,353,15,15
-15333,1472,15,15
-15000,1135,15,15
-18259,477,15,15
-15901,1737,15,22
-12900,3138,16,16
-15436,1853,16,16
-15781,2078,16,16
-15633,1564,16,16
-15920,1872,16,16
-16436,2065,16,16
-5511,1847,17,17
-6294,1938,17,17
