Col1,Col2,Actual,Predicted
44,45,S1,S72
45,45,S1,S51
48,48,S1,S1
51,51,S1,S1
48,46,S1,S51
50,50,S1,S1
42,41,S2,S57
36,38,S2,S2
36,36,S2,S52
38,37,S2,S2
38,38,S2,S2
40,39,S2,S2
42,42,S3,S17
46,46,S3,S3
45,43,S3,S17
41,41,S3,S17
46,45,S3,S3
39,39,S3,S51
43,42,S4,S5
41,40,S4,S51
41,40,S4,S51
43,43,S4,S4
42,42,S4,S51
43,42,S4,S51
45,45,S5,S5
45,45,S5,S5
47,47,S5,S5
47,47,S5,S5
52,51,S5,S52
49,48,S5,S52
37,37,S6,S17
38,38,S6,S6
39,39,S6,S3
39,39,S6,S6
40,40,S6,S6
41,42,S6,S6
50,50,S7,S7
75,75,S7,S8
61,61,S7,S7
75,75,S7,S8
57,57,S7,S7
73,73,S7,S7
87,88,S8,S8
100,99,S8,S8
79,80,S8,S8
76,77,S8,S8
77,77,S8,S8
71,72,S8,S7
66,66,S9,S9
69,68,S9,S9
69,68,S9,S9
69,68,S9,S9
70,66,S9,S9
68,68,S9,S9
36,36,S10,S10
35,35,S10,S37
34,34,S10,S10
34,34,S10,S10
32,32,S10,S10
31,31,S10,S10
57,56,S11,S20
58,58,S11,S11
62,63,S11,S11
62,63,S11,S11
52,52,S11,S20
57,56,S11,S20
54,54,S12,S12
61,60,S12,S12
54,54,S12,S12
59,59,S12,S12
63,63,S12,S12
70,70,S12,S12
41,41,S13,S13
43,43,S13,S13
41,41,S13,S13
47,47,S13,S52
38,39,S13,S13
45,45,S13,S52
54,54,S14,S14
54,53,S14,S14
56,54,S14,S14
57,56,S14,S14
54,54,S14,S14
53,53,S14,S14
76,76,S15,S15
74,75,S15,S15
73,75,S15,S15
72,73,S15,S70
78,78,S15,S15
84,84,S15,S15
68,68,S16,S16
78,78,S16,S16
74,74,S16,S16
75,74,S16,S16
73,76,S16,S16
83,82,S16,S16
52,51,S17,S17
53,53,S17,S17
51,51,S17,S17
50,50,S17,S17
62,60,S17,S14
56,56,S17,S17
54,55,S18,S18
44,43,S18,S72
53,53,S18,S18
52,52,S18,S18
51,50,S18,S23
53,54,S18,S13
44,44,S19,S19
45,45,S19,S19
43,43,S19,S19
42,42,S19,S19
44,44,S19,S19
45,45,S19,S19
58,58,S20,S20
58,58,S20,S20
61,61,S20,S3
58,58,S20,S20
67,67,S20,S3
60,59,S20,S20
43,43,S21,S21
41,40,S21,S21
43,43,S21,S21
44,43,S21,S21
41,41,S21,S21
40,40,S21,S2
55,55,S22,S22
52,52,S22,S22
60,60,S22,S22
64,63,S22,S22
59,60,S22,S22
54,54,S22,S22
45,44,S23,S51
45,46,S23,S23
46,45,S23,S51
46,46,S23,S51
44,45,S23,S23
45,45,S23,S23
57,57,S24,S63
60,60,S24,S63
60,60,S24,S9
59,59,S24,S24
65,65,S24,S22
70,69,S24,S18
42,42,S25,S25
47,46,S25,S25
48,48,S25,S25
44,44,S25,S25
44,44,S25,S2
48,48,S25,S25
49,49,S26,S26
47,47,S26,S26
48,48,S26,S26
46,48,S26,S26
45,45,S26,S26
49,48,S26,S26
48,48,S27,S3
47,47,S27,S17
58,58,S27,S28
50,50,S27,S27
43,44,S27,S17
56,56,S27,S27
61,61,S28,S28
63,62,S28,S28
55,55,S28,S28
58,56,S28,S68
54,53,S28,S28
65,64,S28,S28
51,51,S29,S29
52,53,S29,S63
49,49,S29,S29
53,53,S29,S29
50,50,S29,S70
47,47,S29,S29
68,67,S30,S30
69,70,S30,S11
66,68,S30,S30
70,72,S30,S30
67,67,S30,S30
69,69,S30,S30
49,49,S31,S31
46,46,S31,S3
55,54,S31,S31
44,44,S31,S17
43,43,S31,S17
55,55,S31,S36
50,50,S32,S32
55,55,S32,S32
44,45,S32,S32
49,49,S32,S32
50,50,S32,S32
47,47,S32,S32
45,45,S33,S33
