Col1,Col2,Actual,Predicted
44,45,S1,S33
45,45,S1,S1
48,48,S1,S5
51,51,S1,S1
48,46,S1,S46
50,50,S1,S29
42,41,S2,S37
36,38,S2,S10
36,36,S2,S50
38,37,S2,S52
38,38,S2,S50
40,39,S2,S9
42,42,S3,S17
46,46,S3,S21
45,43,S3,S17
41,41,S3,S51
46,45,S3,S65
39,39,S3,S17
43,42,S4,S50
41,40,S4,S57
41,40,S4,S50
43,43,S4,S37
42,42,S4,S8
43,42,S4,S8
45,45,S5,S8
45,45,S5,S8
47,47,S5,S9
47,47,S5,S8
52,51,S5,S67
49,48,S5,S50
37,37,S6,S17
38,38,S6,S6
39,39,S6,S36
39,39,S6,S17
40,40,S6,S17
41,42,S6,S17
50,50,S7,S8
75,75,S7,S50
61,61,S7,S8
75,75,S7,S50
57,57,S7,S8
73,73,S7,S50
87,88,S8,S9
100,99,S8,S65
79,80,S8,S24
76,77,S8,S56
77,77,S8,S20
71,72,S8,S59
66,66,S9,S50
69,68,S9,S9
69,68,S9,S50
69,68,S9,S9
70,66,S9,S50
68,68,S9,S9
36,36,S10,S10
35,35,S10,S50
34,34,S10,S50
34,34,S10,S9
32,32,S10,S8
31,31,S10,S8
57,56,S11,S67
58,58,S11,S39
62,63,S11,S50
62,63,S11,S11
52,52,S11,S67
57,56,S11,S63
54,54,S12,S12
61,60,S12,S55
54,54,S12,S72
59,59,S12,S8
63,63,S12,S12
70,70,S12,S12
41,41,S13,S19
43,43,S13,S67
41,41,S13,S37
47,47,S13,S8
38,39,S13,S5
45,45,S13,S59
54,54,S14,S44
54,53,S14,S50
56,54,S14,S39
57,56,S14,S63
54,54,S14,S44
53,53,S14,S59
76,76,S15,S50
74,75,S15,S50
73,75,S15,S50
72,73,S15,S50
78,78,S15,S50
84,84,S15,S50
68,68,S16,S67
78,78,S16,S8
74,74,S16,S67
75,74,S16,S67
73,76,S16,S8
83,82,S16,S8
52,51,S17,S17
53,53,S17,S18
51,51,S17,S17
50,50,S17,S17
62,60,S17,S8
56,56,S17,S5
54,55,S18,S50
44,43,S18,S67
53,53,S18,S9
52,52,S18,S67
51,50,S18,S8
53,54,S18,S50
44,44,S19,S19
45,45,S19,S50
43,43,S19,S50
42,42,S19,S19
44,44,S19,S37
45,45,S19,S19
58,58,S20,S9
58,58,S20,S20
61,61,S20,S17
58,58,S20,S63
67,67,S20,S8
60,59,S20,S20
43,43,S21,S50
41,40,S21,S50
43,43,S21,S50
44,43,S21,S50
41,41,S21,S50
40,40,S21,S50
55,55,S22,S63
52,52,S22,S67
60,60,S22,S67
64,63,S22,S67
59,60,S22,S8
54,54,S22,S63
45,44,S23,S23
45,46,S23,S67
46,45,S23,S8
46,46,S23,S23
44,45,S23,S39
45,45,S23,S8
57,57,S24,S34
60,60,S24,S39
60,60,S24,S20
59,59,S24,S39
65,65,S24,S71
70,69,S24,S39
42,42,S25,S5
47,46,S25,S10
48,48,S25,S5
44,44,S25,S5
44,44,S25,S8
48,48,S25,S5
49,49,S26,S26
47,47,S26,S26
48,48,S26,S26
46,48,S26,S67
45,45,S26,S9
49,48,S26,S8
48,48,S27,S5
47,47,S27,S72
58,58,S27,S65
50,50,S27,S9
43,44,S27,S72
56,56,S27,S27
61,61,S28,S67
63,62,S28,S67
55,55,S28,S17
58,56,S28,S8
54,53,S28,S8
65,64,S28,S9
51,51,S29,S67
52,53,S29,S19
49,49,S29,S67
53,53,S29,S67
50,50,S29,S59
47,47,S29,S67
68,67,S30,S67
69,70,S30,S9
66,68,S30,S67
70,72,S30,S67
67,67,S30,S24
69,69,S30,S24
49,49,S31,S8
46,46,S31,S50
55,54,S31,S31
44,44,S31,S67
43,43,S31,S16
55,55,S31,S10
50,50,S32,S32
55,55,S32,S32
44,45,S32,S37
49,49,S32,S37
50,50,S32,S32
47,47,S32,S37
45,45,S33,S67
48,48,S33,S9
48,46,S33,S10
47,46,S33,S67
46,46,S33,S67
48,48,S33,S33
53,54,S34,S67
