Col1,Col2,Actual,Predicted
-8382,1543,S1,NO NAME
-8315,1493,S1,NO NAME
-11282,1789,S1,NO NAME
-11278,1722,S1,NO NAME
-8369,1529,S1,NO NAME
-11467,1479,S1,NO NAME
-8912,-2414,S2,NO NAME
-9263,-2899,S2,NO NAME
-10362,-3325,S2,NO NAME
-10054,-1515,S2,NO NAME
-9021,-2755,S2,NO NAME
-10050,-1746,S2,NO NAME
-5577,1757,S3,NO NAME
-7056,1698,S3,NO NAME
-5476,1661,S3,NO NAME
-5490,1649,S3,NO NAME
-7360,1537,S3,NO NAME
-5585,1672,S3,NO NAME
-8091,919,S4,NO NAME
-8147,777,S4,NO NAME
-8229,778,S4,NO NAME
-9580,-277,S4,NO NAME
-8035,733,S4,NO NAME
-7989,781,S4,NO NAME
-10716,-304,S5,NO NAME
-10731,-290,S5,NO NAME
-10913,-505,S5,NO NAME
-10689,-351,S5,NO NAME
-11381,-723,S5,NO NAME
-10944,-719,S5,NO NAME
-4376,1587,S6,NO NAME
-4529,1624,S6,NO NAME
-4701,1429,S6,NO NAME
-4043,1493,S6,NO NAME
-4031,1495,S6,NO NAME
-4047,1538,S6,NO NAME
-7608,-153,S7,NO NAME
-14315,-1305,S7,NO NAME
-10803,-798,S7,NO NAME
-14417,-550,S7,NO NAME
-11976,-911,S7,NO NAME
-14559,-382,S7,NO NAME
-15977,-749,S8,NO NAME
-19185,23,S8,NO NAME
-13555,-387,S8,NO NAME
-13397,-893,S8,NO NAME
-13170,-1056,S8,NO NAME
-13094,-410,S8,NO NAME
-11021,1175,S9,NO NAME
-12357,1538,S9,NO NAME
-11355,1556,S9,NO NAME
-12431,1498,S9,NO NAME
-12683,1464,S9,NO NAME
-12585,1717,S9,NO NAME
-9551,-2895,S10,NO NAME
-10323,-3996,S10,NO NAME
-10436,-3257,S10,NO NAME
-9670,-2966,S10,NO NAME
-9603,-2282,S10,NO NAME
-9556,-2292,S10,NO NAME
-9165,1991,S11,NO NAME
-9878,2030,S11,NO NAME
-9654,664,S11,NO NAME
-10498,-82,S11,NO NAME
-8789,1779,S11,NO NAME
-9316,2080,S11,NO NAME
-8273,2363,S12,NO NAME
-10565,2409,S12,NO NAME
-8130,2358,S12,NO NAME
-9855,2366,S12,NO NAME
-11289,2574,S12,NO NAME
-11752,2544,S12,NO NAME
-8430,-631,S13,NO NAME
-10217,-730,S13,NO NAME
-9979,-384,S13,NO NAME
-9482,-1015,S13,NO NAME
-8353,-718,S13,NO NAME
-9162,-518,S13,NO NAME
-8069,1786,S14,NO NAME
-6790,1413,S14,NO NAME
-7790,1608,S14,NO NAME
-7231,972,S14,NO NAME
-7098,932,S14,NO NAME
-6331,940,S14,NO NAME
-17841,304,S15,NO NAME
-17615,353,S15,NO NAME
-15333,1472,S15,NO NAME
-15000,1135,S15,NO NAME
-18259,477,S15,NO NAME
-15901,1737,S15,NO NAME
-12900,3138,S16,NO NAME
-15436,1853,S16,NO NAME
-15781,2078,S16,NO NAME
-15633,1564,S16,NO NAME
-15920,1872,S16,NO NAME
-16436,2065,S16,NO NAME
-5511,1847,S17,NO NAME
-6294,1938,S17,NO NAME
-5519,1833,S17,NO NAME
-5472,1824,S17,NO NAME
-6567,1957,S17,NO NAME
-6417,1995,S17,NO NAME
-11910,1152,S18,NO NAME
-8411,1571,S18,NO NAME
-12532,1072,S18,NO NAME
-12419,624,S18,NO NAME
-12326,263,S18,NO NAME
-10691,835,S18,NO NAME
-9501,-2953,S19,NO NAME
-9441,-3066,S19,NO NAME
-9459,-3008,S19,NO NAME
