k,dataset_name,Threads,Time,Distance_measure,Accuracy,Recall,Precision,F1score
72,../../data/Faces95/ReducedTrainingDataFaces95.csv,1,2.17186,manhattan,0.0138889,0.000192901,0.0138889,0.000380518
72,../../data/Faces95/ReducedTrainingDataFaces95.csv,2,2.55716,manhattan,0.0138889,0.000192901,0.0138889,0.000380518
72,../../data/Faces95/ReducedTrainingDataFaces95.csv,4,2.41589,manhattan,0.0138889,0.000192901,0.0138889,0.000380518
72,../../data/Faces95/ReducedTrainingDataFaces95.csv,6,2.70055,manhattan,0.0138889,0.000192901,0.0138889,0.000380518
72,../../data/Faces95/ReducedTrainingDataFaces95.csv,8,3.14141,manhattan,0.0138889,0.000192901,0.0138889,0.000380518
72,../../data/Faces95/ReducedTrainingDataFaces95.csv,10,3.5523,manhattan,0.0138889,0.000192901,0.0138889,0.000380518
72,../../data/Faces95/ReducedTrainingDataFaces95.csv,12,3.85301,manhattan,0.0138889,0.000192901,0.0138889,0.000380518
72,../../data/Faces95/ReducedTrainingDataFaces95.csv,14,4.3138,manhattan,0.0138889,0.000192901,0.0138889,0.000380518
72,../../data/Faces95/ReducedTrainingDataFaces95.csv,16,4.66459,manhattan,0.0138889,0.000192901,0.0138889,0.000380518
72,../../data/Faces95/ReducedTrainingDataFaces95.csv,18,5.09094,manhattan,0.0138889,0.000192901,0.0138889,0.000380518
72,../../data/Faces95/ReducedTrainingDataFaces95.csv,20,5.47265,manhattan,0.0138889,0.000192901,0.0138889,0.000380518
