Col1,Col2,Actual,Predicted
42,41,S1,S18
34,34,S1,S18
43,39,S2,S28
37,34,S2,S2
104,109,S3,S3
104,109,S3,S3
114,118,S4,S26
119,124,S4,S4
126,127,S5,S40
124,125,S5,S31
154,155,S6,S6
157,154,S6,S6
49,48,S7,S7
66,68,S7,S17
116,116,S8,S3
117,115,S8,S8
110,112,S9,S9
111,111,S9,S21
136,136,S10,S9
133,129,S10,S3
50,46,S11,S9
48,44,S11,S4
100,105,S12,S12
105,104,S12,S12
110,106,S13,S13
105,110,S13,S13
41,42,S14,S14
43,46,S14,S22
120,119,S15,S34
119,121,S15,S39
63,54,S16,S13
59,60,S16,S35
45,52,S17,S17
49,45,S17,S5
119,118,S18,S18
122,119,S18,S12
46,48,S19,S37
42,47,S19,S32
109,107,S20,S20
109,111,S20,S24
108,105,S21,S21
105,104,S21,S29
55,56,S22,S22
58,57,S22,S33
124,126,S23,S23
128,123,S23,S31
35,36,S24,S24
34,38,S24,S24
122,124,S25,S25
120,122,S25,S25
112,109,S26,S26
109,111,S26,S26
42,44,S27,S40
40,40,S27,S4
48,50,S28,S35
124,121,S28,S15
98,103,S29,S39
99,102,S29,S29
108,108,S30,S21
109,107,S30,S30
98,98,S31,S23
29,39,S31,S25
33,39,S32,S32
32,37,S32,S21
54,49,S33,S30
91,96,S33,S30
23,24,S34,S15
25,17,S34,S33
67,62,S35,S25
92,86,S35,S25
45,45,S36,S36
47,42,S36,S4
121,121,S37,S37
116,123,S37,S28
108,112,S38,S23
108,105,S38,S23
86,90,S39,S39
89,87,S39,S22
119,120,S40,S13
125,124,S40,S40
