dataset_name,Threads,Time,Distance_measure,Accuracy,Recall,Precision,F1score
../../data/cam_uk/train_image_dataset.csv,1,0.428241,chebyshev,0.4125,0.37875,0.4125,0.394905
../../data/cam_uk/train_image_dataset.csv,2,0.301683,chebyshev,0.4125,0.37875,0.4125,0.394905
../../data/cam_uk/train_image_dataset.csv,4,0.155392,chebyshev,0.4125,0.37875,0.4125,0.394905
../../data/cam_uk/train_image_dataset.csv,6,0.114541,chebyshev,0.4125,0.37875,0.4125,0.394905
../../data/cam_uk/train_image_dataset.csv,8,0.0937908,chebyshev,0.4125,0.37875,0.4125,0.394905
../../data/cam_uk/train_image_dataset.csv,10,0.0831961,chebyshev,0.4125,0.37875,0.4125,0.394905
../../data/cam_uk/train_image_dataset.csv,12,0.0767956,chebyshev,0.4125,0.37875,0.4125,0.394905
../../data/cam_uk/train_image_dataset.csv,14,0.0645849,chebyshev,0.4125,0.37875,0.4125,0.394905
../../data/cam_uk/train_image_dataset.csv,16,0.056773,chebyshev,0.4125,0.37875,0.4125,0.394905
../../data/cam_uk/train_image_dataset.csv,18,0.0626488,chebyshev,0.4125,0.37875,0.4125,0.394905
../../data/cam_uk/train_image_dataset.csv,20,0.0688802,chebyshev,0.4125,0.37875,0.4125,0.394905
