Col1,Col2,Actual,Predicted
42,41,S1,S40
34,34,S1,S1
43,39,S2,S2
37,34,S2,S26
104,109,S3,S3
104,109,S3,S4
114,118,S4,S22
119,124,S4,S2
126,127,S5,S40
124,125,S5,S9
154,155,S6,S6
157,154,S6,S6
49,48,S7,S9
66,68,S7,S31
116,116,S8,S22
117,115,S8,S5
110,112,S9,S9
111,111,S9,S39
136,136,S10,S9
133,129,S10,S3
50,46,S11,S22
48,44,S11,S22
100,105,S12,S40
105,104,S12,S26
110,106,S13,S25
105,110,S13,S25
41,42,S14,S9
43,46,S14,S22
120,119,S15,S34
119,121,S15,S39
63,54,S16,S22
59,60,S16,S24
45,52,S17,S2
49,45,S17,S9
119,118,S18,S18
122,119,S18,S5
46,48,S19,S2
42,47,S19,S2
109,107,S20,S22
109,111,S20,S22
108,105,S21,S9
105,104,S21,S9
55,56,S22,S22
58,57,S22,S22
124,126,S23,S9
128,123,S23,S2
35,36,S24,S24
34,38,S24,S24
122,124,S25,S25
120,122,S25,S25
112,109,S26,S26
109,111,S26,S2
42,44,S27,S22
40,40,S27,S5
48,50,S28,S9
124,121,S28,S2
98,103,S29,S39
99,102,S29,S29
108,108,S30,S9
109,107,S30,S39
98,98,S31,S29
29,39,S31,S25
33,39,S32,S2
32,37,S32,S2
54,49,S33,S9
91,96,S33,S9
23,24,S34,S2
25,17,S34,S22
67,62,S35,S25
92,86,S35,S29
45,45,S36,S2
47,42,S36,S2
121,121,S37,S37
116,123,S37,S2
108,112,S38,S9
108,105,S38,S9
86,90,S39,S39
89,87,S39,S39
119,120,S40,S22
125,124,S40,S12
