Col1,Col2,Actual,Predicted
42,41,S1,S5
34,34,S1,S5
43,39,S2,S5
37,34,S2,S21
104,109,S3,S3
104,109,S3,S3
114,118,S4,S26
119,124,S4,S23
126,127,S5,S5
124,125,S5,S18
154,155,S6,S6
157,154,S6,S6
49,48,S7,S40
66,68,S7,S12
116,116,S8,S40
117,115,S8,S8
110,112,S9,S9
111,111,S9,S21
136,136,S10,S23
133,129,S10,S12
50,46,S11,S5
48,44,S11,S5
100,105,S12,S3
105,104,S12,S12
110,106,S13,S25
105,110,S13,S25
41,42,S14,S14
43,46,S14,S25
120,119,S15,S15
119,121,S15,S30
63,54,S16,S29
59,60,S16,S9
45,52,S17,S5
49,45,S17,S5
119,118,S18,S40
122,119,S18,S18
46,48,S19,S25
42,47,S19,S5
109,107,S20,S40
109,111,S20,S31
108,105,S21,S30
105,104,S21,S9
55,56,S22,S25
58,57,S22,S39
124,126,S23,S3
128,123,S23,S38
35,36,S24,S4
34,38,S24,S28
122,124,S25,S5
120,122,S25,S25
112,109,S26,S3
109,111,S26,S21
42,44,S27,S25
40,40,S27,S5
48,50,S28,S3
124,121,S28,S5
98,103,S29,S39
99,102,S29,S29
108,108,S30,S21
109,107,S30,S30
98,98,S31,S30
29,39,S31,S4
33,39,S32,S17
32,37,S32,S25
54,49,S33,S21
91,96,S33,S29
23,24,S34,S15
25,17,S34,S15
67,62,S35,S25
92,86,S35,S5
45,45,S36,S5
47,42,S36,S31
121,121,S37,S26
116,123,S37,S2
108,112,S38,S23
108,105,S38,S23
86,90,S39,S39
89,87,S39,S39
119,120,S40,S3
125,124,S40,S12
