Col1,Col2,Actual,Predicted
42,41,S1,S1
34,34,S1,S17
43,39,S2,S2
37,34,S2,S2
104,109,S3,S3
104,109,S3,S3
114,118,S4,S4
119,124,S4,S4
126,127,S5,S5
124,125,S5,S5
154,155,S6,S6
157,154,S6,S6
49,48,S7,S7
66,68,S7,S7
116,116,S8,S8
117,115,S8,S8
110,112,S9,S9
111,111,S9,S9
136,136,S10,S10
133,129,S10,S8
50,46,S11,S11
48,44,S11,S11
100,105,S12,S12
105,104,S12,S12
110,106,S13,S13
105,110,S13,S13
41,42,S14,S14
43,46,S14,S14
120,119,S15,S15
119,121,S15,S15
63,54,S16,S16
59,60,S16,S16
45,52,S17,S17
49,45,S17,S17
119,118,S18,S18
122,119,S18,S18
46,48,S19,S1
42,47,S19,S19
109,107,S20,S20
109,111,S20,S20
108,105,S21,S21
105,104,S21,S21
55,56,S22,S22
58,57,S22,S22
124,126,S23,S23
128,123,S23,S23
35,36,S24,S24
34,38,S24,S24
122,124,S25,S25
120,122,S25,S25
112,109,S26,S26
109,111,S26,S26
42,44,S27,S27
40,40,S27,S27
48,50,S28,S28
124,121,S28,S28
98,103,S29,S29
99,102,S29,S29
108,108,S30,S30
109,107,S30,S30
98,98,S31,S31
29,39,S31,S31
33,39,S32,S32
32,37,S32,S32
54,49,S33,S33
91,96,S33,S33
23,24,S34,S34
25,17,S34,S34
67,62,S35,S35
92,86,S35,S35
45,45,S36,S36
47,42,S36,S17
121,121,S37,S37
116,123,S37,S37
108,112,S38,S38
108,105,S38,S38
86,90,S39,S39
89,87,S39,S39
119,120,S40,S40
125,124,S40,S5
