k,dataset_name,Threads,Time,Distance_measure,Accuracy,Recall,Precision,F1score
3,../../data/cam_uk/train_image_dataset.csv,1,2.85055,chebyshev,0.2,0.149206,0.2,0.170909
3,../../data/cam_uk/train_image_dataset.csv,2,1.49887,chebyshev,0.2,0.149206,0.2,0.170909
3,../../data/cam_uk/train_image_dataset.csv,4,0.741512,chebyshev,0.2,0.149206,0.2,0.170909
3,../../data/cam_uk/train_image_dataset.csv,6,0.533798,chebyshev,0.2,0.149206,0.2,0.170909
3,../../data/cam_uk/train_image_dataset.csv,8,0.397561,chebyshev,0.2,0.149206,0.2,0.170909
3,../../data/cam_uk/train_image_dataset.csv,10,0.316067,chebyshev,0.2,0.149206,0.2,0.170909
3,../../data/cam_uk/train_image_dataset.csv,12,0.277006,chebyshev,0.2,0.149206,0.2,0.170909
3,../../data/cam_uk/train_image_dataset.csv,14,0.244053,chebyshev,0.2,0.149206,0.2,0.170909
3,../../data/cam_uk/train_image_dataset.csv,16,0.203661,chebyshev,0.2,0.149206,0.2,0.170909
3,../../data/cam_uk/train_image_dataset.csv,18,0.203865,chebyshev,0.2,0.149206,0.2,0.170909
3,../../data/cam_uk/train_image_dataset.csv,20,0.297919,chebyshev,0.2,0.149206,0.2,0.170909
