k,dataset_name,Threads,Time,Distance_measure,Accuracy,Recall,Precision,F1score
3,../../data/cam_uk/train_image_dataset.csv,1,6.84901,hellinger,0.9375,0.958333,0.9375,0.947802
3,../../data/cam_uk/train_image_dataset.csv,2,3.42754,hellinger,0.9375,0.958333,0.9375,0.947802
3,../../data/cam_uk/train_image_dataset.csv,4,1.73706,hellinger,0.9375,0.958333,0.9375,0.947802
3,../../data/cam_uk/train_image_dataset.csv,6,1.27007,hellinger,0.9375,0.958333,0.9375,0.947802
3,../../data/cam_uk/train_image_dataset.csv,8,0.936616,hellinger,0.9375,0.958333,0.9375,0.947802
3,../../data/cam_uk/train_image_dataset.csv,10,0.748797,hellinger,0.9375,0.958333,0.9375,0.947802
3,../../data/cam_uk/train_image_dataset.csv,12,0.656071,hellinger,0.9375,0.958333,0.9375,0.947802
3,../../data/cam_uk/train_image_dataset.csv,14,0.579453,hellinger,0.9375,0.958333,0.9375,0.947802
3,../../data/cam_uk/train_image_dataset.csv,16,0.571256,hellinger,0.9375,0.958333,0.9375,0.947802
3,../../data/cam_uk/train_image_dataset.csv,18,0.488873,hellinger,0.9375,0.958333,0.9375,0.947802
3,../../data/cam_uk/train_image_dataset.csv,20,0.568368,hellinger,0.9375,0.958333,0.9375,0.947802
