k,dataset_name,Threads,Time,Distance_measure,Accuracy,Recall,Precision,F1score
3,../../data/cam_uk/train_image_dataset.csv,1,2.18245,manhattan,0.975,0.983333,0.975,0.979149
3,../../data/cam_uk/train_image_dataset.csv,2,1.08756,manhattan,0.975,0.983333,0.975,0.979149
3,../../data/cam_uk/train_image_dataset.csv,4,0.546328,manhattan,0.975,0.983333,0.975,0.979149
3,../../data/cam_uk/train_image_dataset.csv,6,0.410423,manhattan,0.975,0.983333,0.975,0.979149
3,../../data/cam_uk/train_image_dataset.csv,8,0.293855,manhattan,0.975,0.983333,0.975,0.979149
3,../../data/cam_uk/train_image_dataset.csv,10,0.235107,manhattan,0.975,0.983333,0.975,0.979149
3,../../data/cam_uk/train_image_dataset.csv,12,0.20705,manhattan,0.975,0.983333,0.975,0.979149
3,../../data/cam_uk/train_image_dataset.csv,14,0.182791,manhattan,0.975,0.983333,0.975,0.979149
3,../../data/cam_uk/train_image_dataset.csv,16,0.158453,manhattan,0.975,0.983333,0.975,0.979149
3,../../data/cam_uk/train_image_dataset.csv,18,0.156138,manhattan,0.975,0.983333,0.975,0.979149
3,../../data/cam_uk/train_image_dataset.csv,20,0.217974,manhattan,0.975,0.983333,0.975,0.979149
