Col1,Col2,Actual,Predicted
3,3,S1,S13
148,152,S1,S21
71,74,S1,S31
92,95,S1,S31
122,121,S1,S13
114,116,S1,S31
153,157,S1,S31
64,67,S1,S13
2,2,S1,S31
1,1,S1,S13
57,60,S1,S31
11,14,S1,S21
174,180,S1,S13
134,134,S1,S21
82,85,S1,S13
96,93,S1,S13
156,156,S1,S13
157,145,S1,S13
17,18,S1,S31
2,2,S1,S13
39,38,S1,S13
11,16,S1,S31
2,2,S1,S21
74,78,S1,S21
4,4,S2,S31
3,3,S2,S21
3,3,S2,S27
2,2,S2,S13
109,115,S2,S8
169,174,S2,S12
156,142,S2,S17
3,3,S2,S21
51,56,S2,S8
137,136,S2,S12
3,3,S2,S27
214,208,S2,S22
83,87,S2,S8
103,104,S2,S31
93,96,S2,S31
44,47,S2,S13
108,114,S2,S31
140,140,S2,S13
136,142,S2,S31
37,43,S2,S8
153,148,S2,S31
36,40,S2,S8
3,3,S2,S8
5,5,S2,S13
0,1,S3,S31
0,3,S3,S13
10,10,S3,S13
36,27,S3,S13
11,5,S3,S21
35,17,S3,S3
21,19,S3,S13
2,9,S3,S31
0,0,S3,S13
0,0,S3,S13
0,0,S3,S1
0,0,S3,S25
28,19,S3,S13
6,3,S3,S31
0,0,S3,S25
2,2,S3,S13
7,9,S3,S13
2,1,S3,S13
7,7,S3,S13
21,28,S3,S13
0,0,S3,S23
0,0,S3,S8
0,0,S3,S25
0,0,S3,S6
203,210,S4,S13
131,133,S4,S13
6,5,S4,S37
3,3,S4,S13
179,183,S4,S13
4,4,S4,S21
51,52,S4,S21
141,146,S4,S19
254,255,S4,S13
3,4,S4,S37
3,3,S4,S1
165,165,S4,S13
133,133,S4,S13
46,46,S4,S13
221,225,S4,S21
150,153,S4,S13
245,248,S4,S13
5,5,S4,S13
4,4,S4,S1
183,187,S4,S13
98,103,S4,S13
4,4,S4,S4
3,4,S4,S27
165,164,S4,S4
91,91,S5,S13
254,245,S5,S13
185,190,S5,S35
7,6,S5,S5
255,255,S5,S13
86,93,S5,S21
46,45,S5,S13
6,6,S5,S25
7,6,S5,S21
5,6,S5,S13
93,95,S5,S13
162,167,S5,S13
122,122,S5,S34
235,222,S5,S21
53,58,S5,S13
189,197,S5,S13
76,75,S5,S31
6,5,S5,S5
163,169,S5,S13
14,14,S5,S13
5,6,S5,S13
55,59,S5,S13
29,31,S5,S13
137,140,S5,S13
4,3,S6,S4
31,31,S6,S8
50,52,S6,S8
4,4,S6,S8
67,71,S6,S8
45,47,S6,S8
235,238,S6,S4
64,66,S6,S4
152,148,S6,S22
11,12,S6,S8
88,90,S6,S31
142,141,S6,S31
3,3,S6,S4
129,129,S6,S25
4,3,S6,S5
5,7,S6,S21
89,93,S6,S8
3,3,S6,S20
116,113,S6,S4
103,109,S6,S29
36,45,S6,S21
194,196,S6,S31
11,11,S6,S8
61,60,S6,S8
8,6,S7,S21
145,143,S7,S28
64,53,S7,S21
70,71,S7,S31
157,149,S7,S13
6,7,S7,S21
4,5,S7,S13
39,37,S7,S20
39,42,S7,S13
3,3,S7,S20
4,3,S7,S21
142,141,S7,S21
3,3,S7,S31
121,123,S7,S13
13,12,S7,S13
4,3,S7,S27
5,4,S7,S13
102,100,S7,S7
3,2,S7,S13
2,3,S7,S31
84,91,S7,S13
147,147,S7,S7
51,54,S7,S13
168,144,S7,S4
26,29,S8,S31
69,63,S8,S31
39,44,S8,S35
41,47,S8,S21
1,1,S8,S21
66,68,S8,S21
2,2,S8,S29
2,2,S8,S31
41,48,S8,S31
107,114,S8,S8
1,1,S8,S31
1,1,S8,S37
147,131,S8,S31
31,38,S8,S6
1,2,S8,S21
23,26,S8,S31
129,137,S8,S1
2,2,S8,S31
168,169,S8,S21
102,100,S8,S31
103,113,S8,S31
65,65,S8,S21
122,124,S8,S12
5,5,S8,S31
23,26,S9,S13
0,1,S9,S13
0,0,S9,S25
2,1,S9,S13
0,0,S9,S31
1,2,S9,S21
0,0,S9,S21
0,0,S9,S29
0,0,S9,S14
3,3,S9,S13
30,41,S9,S13
0,0,S9,S31
0,0,S9,S13
0,0,S9,S13
19,23,S9,S21
19,10,S9,S13
0,2,S9,S22
1,1,S9,S14
13,11,S9,S31
0,0,S9,S31
4,4,S9,S8
0,0,S9,S4
11,7,S9,S8
0,1,S9,S22
0,0,S10,S13
0,0,S10,S13
24,29,S10,S13
20,27,S10,S28
0,0,S10,S20
39,45,S10,S13
9,13,S10,S13
47,53,S10,S13
60,70,S10,S4
1,3,S10,S28
16,22,S10,S13
1,1,S10,S13
6,9,S10,S13
2,2,S10,S13
0,0,S10,S1
1,2,S10,S13
19,25,S10,S13
22,30,S10,S13
32,33,S10,S4
49,64,S10,S28
61,78,S10,S13
0,0,S10,S13
32,40,S10,S21
0,1,S10,S4
89,96,S11,S21
2,2,S11,S31
3,3,S11,S25
3,4,S11,S21
3,2,S11,S21
2,2,S11,S6
90,89,S11,S13
139,143,S11,S31
2,2,S11,S31
2,2,S11,S20
116,109,S11,S35
28,28,S11,S8
90,90,S11,S5
2,2,S11,S21
2,2,S11,S13
55,56,S11,S35
187,200,S11,S13
80,81,S11,S8
64,69,S11,S21
50,49,S11,S13
3,4,S11,S13
67,73,S11,S21
6,6,S11,S13
108,109,S11,S8
174,175,S12,S13
1,1,S12,S14
5,5,S12,S21
141,142,S12,S13
66,68,S12,S13
255,255,S12,S11
90,95,S12,S28
4,4,S12,S13
47,48,S12,S13
6,7,S12,S31
173,179,S12,S21
0,0,S12,S14
111,112,S12,S13
155,147,S12,S12
8,8,S12,S13
79,80,S12,S13
92,90,S12,S21
142,142,S12,S13
47,48,S12,S13
5,5,S12,S21
5,5,S12,S21
3,3,S12,S13
4,4,S12,S31
187,191,S12,S13
94,100,S13,S21
110,115,S13,S5
6,6,S13,S13
80,84,S13,S8
8,8,S13,S13
253,255,S13,S13
179,182,S13,S21
140,146,S13,S4
253,255,S13,S21
6,7,S13,S13
226,238,S13,S13
255,247,S13,S21
252,253,S13,S21
