Col1,Col2,Actual,Predicted
3,3,S1,S16
148,152,S1,S11
71,74,S1,S31
92,95,S1,S29
122,121,S1,S7
114,116,S1,S13
153,157,S1,S13
64,67,S1,S31
2,2,S1,S23
1,1,S1,S19
57,60,S1,S31
11,14,S1,S16
174,180,S1,S11
134,134,S1,S23
82,85,S1,S31
96,93,S1,S14
156,156,S1,S11
157,145,S1,S14
17,18,S1,S1
2,2,S1,S16
39,38,S1,S1
11,16,S1,S1
2,2,S1,S23
74,78,S1,S23
4,4,S2,S37
3,3,S2,S16
3,3,S2,S23
2,2,S2,S16
109,115,S2,S29
169,174,S2,S11
156,142,S2,S23
3,3,S2,S23
51,56,S2,S21
137,136,S2,S23
3,3,S2,S23
214,208,S2,S23
83,87,S2,S21
103,104,S2,S23
93,96,S2,S29
44,47,S2,S7
108,114,S2,S7
140,140,S2,S23
136,142,S2,S11
37,43,S2,S21
153,148,S2,S23
36,40,S2,S4
3,3,S2,S37
5,5,S2,S2
0,1,S3,S3
0,3,S3,S3
10,10,S3,S3
36,27,S3,S23
11,5,S3,S3
35,17,S3,S3
21,19,S3,S3
2,9,S3,S3
0,0,S3,S23
0,0,S3,S19
0,0,S3,S19
0,0,S3,S23
28,19,S3,S3
6,3,S3,S23
0,0,S3,S23
2,2,S3,S3
7,9,S3,S3
2,1,S3,S19
7,7,S3,S23
21,28,S3,S23
0,0,S3,S23
0,0,S3,S23
0,0,S3,S23
0,0,S3,S23
203,210,S4,S21
131,133,S4,S29
6,5,S4,S23
3,3,S4,S37
179,183,S4,S23
4,4,S4,S16
51,52,S4,S21
141,146,S4,S21
254,255,S4,S14
3,4,S4,S16
3,3,S4,S19
165,165,S4,S21
133,133,S4,S4
46,46,S4,S4
221,225,S4,S11
150,153,S4,S29
245,248,S4,S11
5,5,S4,S4
4,4,S4,S16
183,187,S4,S7
98,103,S4,S21
4,4,S4,S23
3,4,S4,S23
165,164,S4,S21
91,91,S5,S11
254,245,S5,S23
185,190,S5,S11
7,6,S5,S16
255,255,S5,S23
86,93,S5,S21
46,45,S5,S21
6,6,S5,S16
7,6,S5,S16
5,6,S5,S5
93,95,S5,S7
162,167,S5,S17
122,122,S5,S23
235,222,S5,S23
53,58,S5,S21
189,197,S5,S11
76,75,S5,S21
6,5,S5,S23
163,169,S5,S17
14,14,S5,S37
5,6,S5,S23
55,59,S5,S21
29,31,S5,S5
137,140,S5,S14
4,3,S6,S6
31,31,S6,S13
50,52,S6,S13
4,4,S6,S6
67,71,S6,S17
45,47,S6,S13
235,238,S6,S14
64,66,S6,S29
152,148,S6,S14
11,12,S6,S13
88,90,S6,S13
142,141,S6,S23
3,3,S6,S19
129,129,S6,S17
4,3,S6,S6
5,7,S6,S23
89,93,S6,S13
3,3,S6,S16
116,113,S6,S17
103,109,S6,S38
36,45,S6,S23
194,196,S6,S11
11,11,S6,S13
61,60,S6,S13
8,6,S7,S27
145,143,S7,S23
64,53,S7,S21
70,71,S7,S21
157,149,S7,S7
6,7,S7,S23
4,5,S7,S37
39,37,S7,S21
39,42,S7,S21
3,3,S7,S23
4,3,S7,S16
142,141,S7,S7
3,3,S7,S16
121,123,S7,S7
13,12,S7,S1
4,3,S7,S16
5,4,S7,S37
102,100,S7,S23
3,2,S7,S19
2,3,S7,S23
84,91,S7,S21
147,147,S7,S11
51,54,S7,S4
168,144,S7,S23
26,29,S8,S21
69,63,S8,S13
39,44,S8,S21
41,47,S8,S13
1,1,S8,S8
66,68,S8,S13
2,2,S8,S23
2,2,S8,S23
41,48,S8,S21
107,114,S8,S17
1,1,S8,S19
1,1,S8,S23
147,131,S8,S23
31,38,S8,S8
1,2,S8,S19
23,26,S8,S21
129,137,S8,S23
2,2,S8,S16
168,169,S8,S11
102,100,S8,S14
103,113,S8,S17
65,65,S8,S17
122,124,S8,S11
5,5,S8,S8
23,26,S9,S23
0,1,S9,S19
0,0,S9,S23
2,1,S9,S9
0,0,S9,S23
1,2,S9,S9
0,0,S9,S23
0,0,S9,S23
0,0,S9,S23
3,3,S9,S3
30,41,S9,S9
0,0,S9,S23
0,0,S9,S23
0,0,S9,S23
19,23,S9,S9
19,10,S9,S3
0,2,S9,S9
1,1,S9,S23
13,11,S9,S23
0,0,S9,S23
4,4,S9,S3
0,0,S9,S9
11,7,S9,S9
0,1,S9,S23
0,0,S10,S16
0,0,S10,S27
24,29,S10,S10
20,27,S10,S10
0,0,S10,S16
39,45,S10,S10
9,13,S10,S21
47,53,S10,S10
60,70,S10,S10
1,3,S10,S28
16,22,S10,S21
1,1,S10,S16
6,9,S10,S27
2,2,S10,S27
0,0,S10,S16
1,2,S10,S27
19,25,S10,S28
22,30,S10,S28
32,33,S10,S23
49,64,S10,S10
61,78,S10,S10
0,0,S10,S16
32,40,S10,S10
0,1,S10,S16
89,96,S11,S23
2,2,S11,S16
3,3,S11,S23
3,4,S11,S23
3,2,S11,S16
2,2,S11,S16
90,89,S11,S11
139,143,S11,S11
2,2,S11,S16
2,2,S11,S19
116,109,S11,S23
28,28,S11,S21
90,90,S11,S13
2,2,S11,S23
2,2,S11,S23
55,56,S11,S21
187,200,S11,S11
80,81,S11,S21
64,69,S11,S23
50,49,S11,S11
3,4,S11,S19
67,73,S11,S11
6,6,S11,S1
108,109,S11,S13
174,175,S12,S17
1,1,S12,S23
5,5,S12,S23
141,142,S12,S13
66,68,S12,S21
255,255,S12,S23
90,95,S12,S17
4,4,S12,S16
47,48,S12,S21
6,7,S12,S21
173,179,S12,S17
0,0,S12,S23
111,112,S12,S13
155,147,S12,S14
8,8,S12,S21
79,80,S12,S21
92,90,S12,S12
142,142,S12,S13
47,48,S12,S21
5,5,S12,S16
5,5,S12,S23
3,3,S12,S19
4,4,S12,S23
187,191,S12,S17
94,100,S13,S23
110,115,S13,S13
6,6,S13,S19
80,84,S13,S13
8,8,S13,S16
253,255,S13,S14
179,182,S13,S14
140,146,S13,S13
253,255,S13,S23
6,7,S13,S16
226,238,S13,S11
255,247,S13,S23
252,253,S13,S23
7,7,S13,S19
7,8,S13,S37
5,6,S13,S16
14,14,S13,S23
8,8,S13,S13
5,5,S13,S23
172,178,S13,S11
6,6,S13,S16
6,6,S13,S23
151,154,S13,S11
81,83,S13,S23
77,81,S14,S13
78,77,S14,S12
22,25,S14,S8
254,255,S14,S23
7,6,S14,S23
9,10,S14,S8
50,55,S14,S13
37,42,S14,S21
2,2,S14,S19
74,80,S14,S21
2,3,S14,S16
129,128,S14,S14
2,3,S14,S23
3,4,S14,S23
4,5,S14,S8
88,88,S14,S14
2,2,S14,S16
1,1,S14,S23
49,52,S14,S14
9,9,S14,S18
135,142,S14,S17
3,3,S14,S16
4,4,S14,S27
109,115,S14,S13
2,4,S15,S23
2,3,S15,S23
10,6,S15,S15
24,28,S15,S23
17,24,S15,S17
5,5,S15,S23
32,33,S15,S17
18,21,S15,S15
4,5,S15,S23
4,3,S15,S23
16,20,S15,S15
5,3,S15,S23
24,27,S15,S23
2,2,S15,S19
4,4,S15,S23
16,14,S15,S15
76,73,S15,S23
3,4,S15,S15
10,9,S15,S15
7,4,S15,S15
7,10,S15,S23
10,8,S15,S15
87,67,S15,S14
27,21,S15,S11
78,77,S16,S27
3,2,S16,S16
75,78,S16,S10
129,129,S16,S11
28,26,S16,S27
54,56,S16,S27
92,95,S16,S21
3,2,S16,S16
58,59,S16,S21
40,40,S16,S27
152,152,S16,S11
232,217,S16,S10
10,9,S16,S16
206,162,S16,S23
80,83,S16,S21
2,2,S16,S16
3,3,S16,S23
196,186,S16,S11
139,136,S16,S23
110,107,S16,S11
2,2,S16,S16
15,9,S16,S23
102,102,S16,S11
209,231,S16,S23
0,0,S17,S23
