Col1,Col2,Actual,Predicted
-10251,9542,1,16
-11406,-9474,1,11
-21949,-162,1,31
-15837,-5272,1,29
-16324,-8600,1,29
-24380,-3779,1,13
-20193,-9639,1,13
-20545,-80,1,31
-5701,5439,1,16
-12044,11014,1,25
-23079,1661,1,31
-9928,4021,1,16
-15536,-12702,1,17
-5345,-4818,1,23
-19392,-3285,1,31
-9927,-7331,1,14
-13061,-11083,1,7
-9632,-9707,1,14
-20074,6603,1,31
-7816,7780,1,16
-15924,-133,1,1
-16584,7144,1,37
-4240,2931,1,23
-4287,-2200,1,23
-14234,9497,2,37
-4194,4524,2,23
-1893,1391,2,23
-7416,6763,2,16
-17058,-5256,2,29
-11948,-10527,2,11
-2323,-2297,2,23
-1523,1456,2,23
-18862,1767,2,21
-1567,-408,2,23
-3560,3693,2,23
-6791,-7633,2,14
-18231,-2001,2,21
-6922,-6854,2,14
-15221,-4741,2,29
-13081,-597,2,7
-12925,-7457,2,7
-7815,-7202,2,14
-10174,-9407,2,11
-19541,4079,2,21
-7360,-7963,2,14
-17742,2852,2,21
-14683,6885,2,37
-12110,3073,2,6
-19131,2127,3,3
-17421,8994,3,37
-12373,-8462,3,3
-6451,-6229,3,23
-17886,-4102,3,3
-21378,-7972,3,3
-12651,-9241,3,3
-19425,6686,3,31
-6330,6424,3,23
-11090,9681,3,25
-12605,8464,3,25
-3066,2826,3,23
-21772,-2911,3,31
-1999,-116,3,23
-6698,5056,3,23
-17970,-487,3,3
-17838,-567,3,3
-13903,9844,3,37
-6706,-4973,3,23
-3875,-3105,3,23
-1658,275,3,23
-1852,-76,3,23
-7425,6698,3,16
-1700,657,3,23
-24128,-11027,4,21
-18933,-6022,4,29
-1650,1079,4,23
-17015,15038,4,37
-6787,-5644,4,14
-5426,5582,4,16
-27251,8879,4,21
-28865,-3486,4,21
-9836,-9822,4,11
-8052,8328,4,16
-13275,12181,4,37
-25205,-5991,4,21
-21536,-5802,4,4
-23839,6159,4,4
-12890,-10800,4,11
-18888,-10090,4,29
-18253,-15038,4,29
-14679,4929,4,4
-7803,8298,4,16
-18084,-12715,4,29
-21536,2310,4,21
-2721,2820,4,23
-3440,2919,4,23
-27031,-3690,4,21
-13793,-4813,5,7
-3928,-2814,5,23
-11706,-10121,5,17
-12559,11358,5,5
-7523,-8459,5,14
-18978,-50,5,21
-21325,3539,5,21
-4900,5183,5,16
-6926,7052,5,16
-11598,3296,5,5
-15582,-4690,5,7
-17054,-8006,5,17
-5055,-5601,5,23
-4389,-5095,5,23
-19986,2369,5,21
-14176,-11932,5,17
-20481,-126,5,21
