dataset_name,Threads,Time,Distance_measure,Accuracy,Recall,Precision,F1score
../../data/cYale/ReducedDataSet_Training.csv,1,0.649801,euclidean,0.128289,0.394827,0.128289,0.193655
../../data/cYale/ReducedDataSet_Training.csv,2,0.330364,euclidean,0.128289,0.394827,0.128289,0.193655
../../data/cYale/ReducedDataSet_Training.csv,4,0.177319,euclidean,0.128289,0.394827,0.128289,0.193655
../../data/cYale/ReducedDataSet_Training.csv,6,0.126161,euclidean,0.128289,0.394827,0.128289,0.193655
../../data/cYale/ReducedDataSet_Training.csv,8,0.101296,euclidean,0.128289,0.394827,0.128289,0.193655
../../data/cYale/ReducedDataSet_Training.csv,10,0.0821466,euclidean,0.128289,0.394827,0.128289,0.193655
../../data/cYale/ReducedDataSet_Training.csv,12,0.0718027,euclidean,0.128289,0.394827,0.128289,0.193655
../../data/cYale/ReducedDataSet_Training.csv,14,0.0674406,euclidean,0.128289,0.394827,0.128289,0.193655
../../data/cYale/ReducedDataSet_Training.csv,16,0.0744505,euclidean,0.128289,0.394827,0.128289,0.193655
../../data/cYale/ReducedDataSet_Training.csv,18,0.0764004,euclidean,0.128289,0.394827,0.128289,0.193655
../../data/cYale/ReducedDataSet_Training.csv,20,0.0666355,euclidean,0.128289,0.394827,0.128289,0.193655
