Col1,Col2,Actual,Predicted
3,3,S1,S22
148,152,S1,S5
71,74,S1,S22
92,95,S1,S22
122,121,S1,S22
114,116,S1,S22
153,157,S1,S22
64,67,S1,S22
2,2,S1,S20
1,1,S1,S22
57,60,S1,S22
11,14,S1,S20
174,180,S1,S22
134,134,S1,S26
82,85,S1,S22
96,93,S1,S22
156,156,S1,S5
157,145,S1,S22
17,18,S1,S22
2,2,S1,S22
39,38,S1,S22
11,16,S1,S22
2,2,S1,S20
74,78,S1,S32
4,4,S2,S22
3,3,S2,S20
3,3,S2,S23
2,2,S2,S22
109,115,S2,S22
169,174,S2,S5
156,142,S2,S22
3,3,S2,S20
51,56,S2,S22
137,136,S2,S12
3,3,S2,S20
214,208,S2,S22
83,87,S2,S22
103,104,S2,S22
93,96,S2,S22
44,47,S2,S22
108,114,S2,S22
140,140,S2,S22
136,142,S2,S22
37,43,S2,S22
153,148,S2,S22
36,40,S2,S22
3,3,S2,S22
5,5,S2,S22
0,1,S3,S22
0,3,S3,S22
10,10,S3,S5
36,27,S3,S12
11,5,S3,S22
35,17,S3,S5
21,19,S3,S22
2,9,S3,S22
0,0,S3,S20
0,0,S3,S22
0,0,S3,S20
0,0,S3,S20
28,19,S3,S22
6,3,S3,S5
0,0,S3,S20
2,2,S3,S22
7,9,S3,S22
2,1,S3,S22
7,7,S3,S5
21,28,S3,S12
0,0,S3,S16
0,0,S3,S22
0,0,S3,S20
0,0,S3,S3
203,210,S4,S22
131,133,S4,S22
6,5,S4,S20
3,3,S4,S22
179,183,S4,S5
4,4,S4,S20
51,52,S4,S22
141,146,S4,S22
254,255,S4,S5
3,4,S4,S20
3,3,S4,S20
165,165,S4,S22
133,133,S4,S22
46,46,S4,S22
221,225,S4,S5
150,153,S4,S22
245,248,S4,S22
5,5,S4,S22
4,4,S4,S20
183,187,S4,S22
98,103,S4,S22
4,4,S4,S20
3,4,S4,S20
165,164,S4,S5
91,91,S5,S22
254,245,S5,S26
185,190,S5,S26
7,6,S5,S20
255,255,S5,S26
86,93,S5,S22
46,45,S5,S22
6,6,S5,S20
7,6,S5,S20
5,6,S5,S22
93,95,S5,S22
162,167,S5,S5
122,122,S5,S22
235,222,S5,S26
53,58,S5,S22
189,197,S5,S26
76,75,S5,S22
6,5,S5,S20
163,169,S5,S22
14,14,S5,S22
5,6,S5,S20
55,59,S5,S22
29,31,S5,S22
137,140,S5,S22
4,3,S6,S22
31,31,S6,S5
50,52,S6,S22
4,4,S6,S22
67,71,S6,S22
45,47,S6,S22
235,238,S6,S5
64,66,S6,S5
152,148,S6,S22
11,12,S6,S5
88,90,S6,S22
142,141,S6,S22
3,3,S6,S20
129,129,S6,S22
4,3,S6,S5
5,7,S6,S5
89,93,S6,S5
3,3,S6,S22
116,113,S6,S22
103,109,S6,S5
36,45,S6,S22
194,196,S6,S5
11,11,S6,S22
61,60,S6,S5
8,6,S7,S22
145,143,S7,S26
64,53,S7,S22
70,71,S7,S22
157,149,S7,S5
6,7,S7,S5
4,5,S7,S22
39,37,S7,S22
39,42,S7,S22
3,3,S7,S19
4,3,S7,S20
142,141,S7,S22
