Col1,Col2,Actual,Predicted
3,3,1,15
148,152,1,36
71,74,1,17
92,95,1,11
122,121,1,11
114,116,1,31
153,157,1,17
64,67,1,14
2,2,1,2
1,1,1,27
57,60,1,4
11,14,1,17
174,180,1,4
134,134,1,19
82,85,1,17
96,93,1,14
156,156,1,4
157,145,1,26
17,18,1,4
2,2,1,27
39,38,1,14
11,16,1,25
2,2,1,17
74,78,1,19
4,4,2,12
3,3,2,2
3,3,2,38
2,2,2,23
109,115,2,11
169,174,2,36
156,142,2,38
3,3,2,38
51,56,2,10
137,136,2,38
3,3,2,2
214,208,2,26
83,87,2,17
103,104,2,26
93,96,2,11
44,47,2,10
108,114,2,14
140,140,2,10
136,142,2,4
37,43,2,27
153,148,2,26
36,40,2,14
3,3,2,1
5,5,2,10
0,1,3,3
0,3,3,9
10,10,3,9
36,27,3,26
11,5,3,3
35,17,3,17
21,19,3,4
2,9,3,1
0,0,3,2
0,0,3,27
0,0,3,9
0,0,3,38
28,19,3,3
6,3,3,38
0,0,3,2
2,2,3,3
7,9,3,3
2,1,3,27
7,7,3,19
21,28,3,19
0,0,3,38
0,0,3,38
0,0,3,2
0,0,3,38
203,210,4,17
131,133,4,17
6,5,4,38
3,3,4,12
179,183,4,19
4,4,4,2
51,52,4,4
141,146,4,31
254,255,4,10
3,4,4,27
3,3,4,27
165,165,4,17
133,133,4,17
46,46,4,4
221,225,4,36
150,153,4,17
245,248,4,17
5,5,4,1
4,4,4,2
183,187,4,17
98,103,4,27
4,4,4,2
3,4,4,38
165,164,4,31
91,91,5,11
254,245,5,19
185,190,5,36
7,6,5,15
255,255,5,10
86,93,5,10
46,45,5,27
6,6,5,2
7,6,5,2
5,6,5,10
93,95,5,11
162,167,5,17
122,122,5,26
235,222,5,26
53,58,5,27
189,197,5,36
76,75,5,17
6,5,5,2
163,169,5,17
14,14,5,1
5,6,5,2
55,59,5,14
29,31,5,14
137,140,5,4
4,3,6,12
31,31,6,27
50,52,6,11
4,4,6,25
67,71,6,11
45,47,6,14
235,238,6,4
64,66,6,10
152,148,6,4
11,12,6,27
88,90,6,17
142,141,6,26
3,3,6,15
129,129,6,17
4,3,6,1
5,7,6,38
89,93,6,17
3,3,6,27
116,113,6,4
103,109,6,16
36,45,6,19
194,196,6,4
11,11,6,14
61,60,6,17
8,6,7,11
145,143,7,19
64,53,7,17
70,71,7,4
157,149,7,17
6,7,7,38
4,5,7,1
39,37,7,27
39,42,7,4
3,3,7,2
4,3,7,15
142,141,7,4
