Col1,Col2,Actual,Predicted
3,3,S1,S2
148,152,S1,S9
71,74,S1,S34
92,95,S1,S11
122,121,S1,S11
114,116,S1,S12
153,157,S1,S17
64,67,S1,S34
2,2,S1,S2
1,1,S1,S18
57,60,S1,S34
11,14,S1,S15
174,180,S1,S21
134,134,S1,S9
82,85,S1,S32
96,93,S1,S20
156,156,S1,S21
157,145,S1,S20
17,18,S1,S25
2,2,S1,S2
39,38,S1,S10
11,16,S1,S11
2,2,S1,S38
74,78,S1,S38
4,4,S2,S18
3,3,S2,S2
3,3,S2,S38
2,2,S2,S14
109,115,S2,S11
169,174,S2,S21
156,142,S2,S38
3,3,S2,S38
51,56,S2,S34
137,136,S2,S38
3,3,S2,S38
214,208,S2,S20
83,87,S2,S12
103,104,S2,S20
93,96,S2,S11
44,47,S2,S10
108,114,S2,S32
140,140,S2,S9
136,142,S2,S20
37,43,S2,S13
153,148,S2,S20
36,40,S2,S18
3,3,S2,S1
5,5,S2,S16
0,1,S3,S3
0,3,S3,S21
10,10,S3,S21
36,27,S3,S20
11,5,S3,S12
35,17,S3,S17
21,19,S3,S21
2,9,S3,S25
0,0,S3,S2
0,0,S3,S18
0,0,S3,S18
0,0,S3,S38
28,19,S3,S3
6,3,S3,S38
0,0,S3,S2
2,2,S3,S3
7,9,S3,S3
2,1,S3,S18
7,7,S3,S9
21,28,S3,S38
0,0,S3,S38
0,0,S3,S38
0,0,S3,S2
0,0,S3,S38
203,210,S4,S17
131,133,S4,S11
6,5,S4,S38
3,3,S4,S21
179,183,S4,S9
4,4,S4,S2
51,52,S4,S25
141,146,S4,S31
254,255,S4,S9
3,4,S4,S2
3,3,S4,S18
165,165,S4,S12
133,133,S4,S12
46,46,S4,S25
221,225,S4,S21
150,153,S4,S17
245,248,S4,S21
5,5,S4,S1
4,4,S4,S2
183,187,S4,S21
98,103,S4,S13
4,4,S4,S38
3,4,S4,S38
165,164,S4,S31
91,91,S5,S15
254,245,S5,S38
185,190,S5,S9
7,6,S5,S18
255,255,S5,S9
86,93,S5,S10
46,45,S5,S13
6,6,S5,S2
7,6,S5,S2
5,6,S5,S16
93,95,S5,S11
162,167,S5,S17
122,122,S5,S20
235,222,S5,S38
53,58,S5,S34
189,197,S5,S21
76,75,S5,S12
6,5,S5,S2
163,169,S5,S17
14,14,S5,S18
5,6,S5,S38
55,59,S5,S32
29,31,S5,S11
137,140,S5,S20
4,3,S6,S18
31,31,S6,S34
50,52,S6,S32
4,4,S6,S20
67,71,S6,S15
45,47,S6,S11
235,238,S6,S21
64,66,S6,S10
152,148,S6,S20
11,12,S6,S18
88,90,S6,S11
142,141,S6,S20
3,3,S6,S15
129,129,S6,S17
4,3,S6,S1
5,7,S6,S38
89,93,S6,S12
3,3,S6,S2
116,113,S6,S21
103,109,S6,S15
36,45,S6,S38
194,196,S6,S21
11,11,S6,S18
61,60,S6,S12
8,6,S7,S11
145,143,S7,S9
64,53,S7,S10
70,71,S7,S34
157,149,S7,S17
6,7,S7,S38
4,5,S7,S1
39,37,S7,S13
39,42,S7,S13
3,3,S7,S2
4,3,S7,S15
142,141,S7,S21
3,3,S7,S2
121,123,S7,S15
13,12,S7,S16
4,3,S7,S2
5,4,S7,S21
102,100,S7,S20
3,2,S7,S14
2,3,S7,S2
84,91,S7,S12
147,147,S7,S21
51,54,S7,S11
168,144,S7,S38
26,29,S8,S13
69,63,S8,S12
39,44,S8,S3
41,47,S8,S12
1,1,S8,S14
66,68,S8,S12
2,2,S8,S2
2,2,S8,S38
41,48,S8,S13
107,114,S8,S17
1,1,S8,S14
1,1,S8,S38
147,131,S8,S20
31,38,S8,S10
1,2,S8,S18
23,26,S8,S13
129,137,S8,S9
2,2,S8,S2
168,169,S8,S21
102,100,S8,S20
103,113,S8,S17
65,65,S8,S11
122,124,S8,S21
5,5,S8,S25
23,26,S9,S38
0,1,S9,S14
0,0,S9,S38
2,1,S9,S18
0,0,S9,S38
1,2,S9,S12
0,0,S9,S38
0,0,S9,S15
0,0,S9,S38
3,3,S9,S3
30,41,S9,S32
0,0,S9,S2
0,0,S9,S2
0,0,S9,S38
19,23,S9,S15
19,10,S9,S32
0,2,S9,S16
1,1,S9,S38
13,11,S9,S38
0,0,S9,S38
4,4,S9,S3
0,0,S9,S15
11,7,S9,S11
0,1,S9,S14
0,0,S10,S18
0,0,S10,S21
24,29,S10,S15
20,27,S10,S12
0,0,S10,S2
39,45,S10,S15
9,13,S10,S10
47,53,S10,S21
60,70,S10,S21
1,3,S10,S11
16,22,S10,S10
1,1,S10,S21
6,9,S10,S18
2,2,S10,S11
0,0,S10,S14
1,2,S10,S1
19,25,S10,S10
22,30,S10,S10
32,33,S10,S38
49,64,S10,S12
61,78,S10,S21
0,0,S10,S18
32,40,S10,S12
0,1,S10,S2
89,96,S11,S38
2,2,S11,S15
3,3,S11,S2
3,4,S11,S38
3,2,S11,S2
2,2,S11,S2
90,89,S11,S20
139,143,S11,S21
2,2,S11,S18
2,2,S11,S11
116,109,S11,S20
28,28,S11,S18
90,90,S11,S10
2,2,S11,S38
2,2,S11,S2
55,56,S11,S10
187,200,S11,S9
80,81,S11,S10
64,69,S11,S38
50,49,S11,S10
3,4,S11,S18
67,73,S11,S10
6,6,S11,S16
108,109,S11,S12
174,175,S12,S21
1,1,S12,S38
5,5,S12,S2
141,142,S12,S12
66,68,S12,S13
255,255,S12,S9
90,95,S12,S10
4,4,S12,S15
47,48,S12,S13
6,7,S12,S21
173,179,S12,S17
0,0,S12,S38
111,112,S12,S12
155,147,S12,S20
8,8,S12,S25
79,80,S12,S31
92,90,S12,S32
142,142,S12,S31
47,48,S12,S13
5,5,S12,S2
5,5,S12,S38
3,3,S12,S14
4,4,S12,S2
187,191,S12,S17
94,100,S13,S12
110,115,S13,S11
6,6,S13,S14
80,84,S13,S31
8,8,S13,S2
253,255,S13,S20
179,182,S13,S20
140,146,S13,S31
253,255,S13,S9
6,7,S13,S38
226,238,S13,S21
255,247,S13,S38
252,253,S13,S38
7,7,S13,S18
7,8,S13,S21
5,6,S13,S2
14,14,S13,S38
8,8,S13,S21
5,5,S13,S38
172,178,S13,S17
6,6,S13,S18
6,6,S13,S38
151,154,S13,S21
81,83,S13,S38
77,81,S14,S32
78,77,S14,S32
22,25,S14,S18
254,255,S14,S9
7,6,S14,S12
9,10,S14,S11
50,55,S14,S11
37,42,S14,S18
2,2,S14,S18
74,80,S14,S10
2,3,S14,S2
129,128,S14,S20
2,3,S14,S38
3,4,S14,S38
4,5,S14,S16
88,88,S14,S15
2,2,S14,S2
1,1,S14,S38
49,52,S14,S32
9,9,S14,S16
135,142,S14,S17
3,3,S14,S2
4,4,S14,S11
109,115,S14,S12
2,4,S15,S15
2,3,S15,S2
10,6,S15,S15
24,28,S15,S38
17,24,S15,S15
5,5,S15,S38
32,33,S15,S15
18,21,S15,S12
4,5,S15,S38
4,3,S15,S38
16,20,S15,S15
5,3,S15,S38
24,27,S15,S20
2,2,S15,S14
4,4,S15,S38
16,14,S15,S22
76,73,S15,S9
3,4,S15,S16
10,9,S15,S32
7,4,S15,S15
7,10,S15,S38
10,8,S15,S10
87,67,S15,S20
27,21,S15,S20
78,77,S16,S10
3,2,S16,S2
75,78,S16,S10
129,129,S16,S17
28,26,S16,S18
54,56,S16,S10
92,95,S16,S32
3,2,S16,S2
58,59,S16,S10
40,40,S16,S10
152,152,S16,S21
232,217,S16,S9
10,9,S16,S11
206,162,S16,S38
80,83,S16,S10
2,2,S16,S18
3,3,S16,S38
196,186,S16,S21
139,136,S16,S9
110,107,S16,S20
2,2,S16,S14
15,9,S16,S38
102,102,S16,S11
209,231,S16,S9
0,0,S17,S38
38,42,S17,S12
22,26,S17,S13
34,56,S17,S12
9,11,S17,S21
0,0,S17,S18
3,4,S17,S11
41,41,S17,S12
0,0,S17,S38
0,1,S17,S20
0,0,S17,S38
25,43,S17,S21
2,4,S17,S20
21,8,S17,S18
17,24,S17,S21
14,19,S17,S34
1,0,S17,S11
29,33,S17,S12
0,0,S17,S38
0,0,S17,S15
0,0,S17,S11
2,5,S17,S12
8,11,S17,S18
