Col1,Col2,Actual,Predicted
-10251,9542,S1,NO NAME
-11406,-9474,S1,NO NAME
-21949,-162,S1,NO NAME
-15837,-5272,S1,NO NAME
-16324,-8600,S1,NO NAME
-24380,-3779,S1,NO NAME
-20193,-9639,S1,NO NAME
-20545,-80,S1,NO NAME
-5701,5439,S1,NO NAME
-12044,11014,S1,NO NAME
-23079,1661,S1,NO NAME
-9928,4021,S1,NO NAME
-15536,-12702,S1,NO NAME
-5345,-4818,S1,NO NAME
-19392,-3285,S1,NO NAME
-9927,-7331,S1,NO NAME
-13061,-11083,S1,NO NAME
-9632,-9707,S1,NO NAME
-20074,6603,S1,NO NAME
-7816,7780,S1,NO NAME
-15924,-133,S1,NO NAME
-16584,7144,S1,NO NAME
-4240,2931,S1,NO NAME
-4287,-2200,S1,NO NAME
-14234,9497,S2,NO NAME
-4194,4524,S2,NO NAME
-1893,1391,S2,NO NAME
-7416,6763,S2,NO NAME
-17058,-5256,S2,NO NAME
-11948,-10527,S2,NO NAME
-2323,-2297,S2,NO NAME
-1523,1456,S2,NO NAME
-18862,1767,S2,NO NAME
-1567,-408,S2,NO NAME
-3560,3693,S2,NO NAME
-6791,-7633,S2,NO NAME
-18231,-2001,S2,NO NAME
-6922,-6854,S2,NO NAME
-15221,-4741,S2,NO NAME
-13081,-597,S2,NO NAME
-12925,-7457,S2,NO NAME
-7815,-7202,S2,NO NAME
-10174,-9407,S2,NO NAME
-19541,4079,S2,NO NAME
-7360,-7963,S2,NO NAME
-17742,2852,S2,NO NAME
-14683,6885,S2,NO NAME
-12110,3073,S2,NO NAME
-19131,2127,S3,NO NAME
-17421,8994,S3,NO NAME
-12373,-8462,S3,NO NAME
-6451,-6229,S3,NO NAME
-17886,-4102,S3,NO NAME
-21378,-7972,S3,NO NAME
-12651,-9241,S3,NO NAME
-19425,6686,S3,NO NAME
-6330,6424,S3,NO NAME
-11090,9681,S3,NO NAME
-12605,8464,S3,NO NAME
-3066,2826,S3,NO NAME
-21772,-2911,S3,NO NAME
-1999,-116,S3,NO NAME
-6698,5056,S3,NO NAME
-17970,-487,S3,NO NAME
-17838,-567,S3,NO NAME
-13903,9844,S3,NO NAME
-6706,-4973,S3,NO NAME
-3875,-3105,S3,NO NAME
-1658,275,S3,NO NAME
-1852,-76,S3,NO NAME
-7425,6698,S3,NO NAME
-1700,657,S3,NO NAME
-24128,-11027,S4,NO NAME
-18933,-6022,S4,NO NAME
-1650,1079,S4,NO NAME
-17015,15038,S4,NO NAME
-6787,-5644,S4,NO NAME
-5426,5582,S4,NO NAME
-27251,8879,S4,NO NAME
-28865,-3486,S4,NO NAME
-9836,-9822,S4,NO NAME
-8052,8328,S4,NO NAME
-13275,12181,S4,NO NAME
-25205,-5991,S4,NO NAME
-21536,-5802,S4,NO NAME
-23839,6159,S4,NO NAME
-12890,-10800,S4,NO NAME
-18888,-10090,S4,NO NAME
-18253,-15038,S4,NO NAME
-14679,4929,S4,NO NAME
-7803,8298,S4,NO NAME
-18084,-12715,S4,NO NAME
-21536,2310,S4,NO NAME
-2721,2820,S4,NO NAME
-3440,2919,S4,NO NAME
-27031,-3690,S4,NO NAME
-13793,-4813,S5,NO NAME
-3928,-2814,S5,NO NAME
-11706,-10121,S5,NO NAME
-12559,11358,S5,NO NAME
-7523,-8459,S5,NO NAME
-18978,-50,S5,NO NAME
-21325,3539,S5,NO NAME
-4900,5183,S5,NO NAME
-6926,7052,S5,NO NAME
-11598,3296,S5,NO NAME
-15582,-4690,S5,NO NAME
-17054,-8006,S5,NO NAME
-5055,-5601,S5,NO NAME
-4389,-5095,S5,NO NAME
-19986,2369,S5,NO NAME
-14176,-11932,S5,NO NAME
-20481,-126,S5,NO NAME
-4609,5130,S5,NO NAME
-17998,-9100,S5,NO NAME
-18417,5894,S5,NO NAME
-3423,3361,S5,NO NAME
-17407,-320,S5,NO NAME
-16285,2237,S5,NO NAME
-10331,-9301,S5,NO NAME
-15355,11560,S6,NO NAME
-19875,2056,S6,NO NAME
-16902,-2604,S6,NO NAME
-17477,8664,S6,NO NAME
-13979,-4849,S6,NO NAME
-18812,99,S6,NO NAME
-10979,-11693,S6,NO NAME
-17464,55,S6,NO NAME
-10321,-10342,S6,NO NAME
-18317,4055,S6,NO NAME
-18454,-5131,S6,NO NAME
-6804,-7439,S6,NO NAME
-12127,9368,S6,NO NAME
-16345,-8120,S6,NO NAME
-15637,8392,S6,NO NAME
-3950,-324,S6,NO NAME
-20354,-3789,S6,NO NAME
-9738,8959,S6,NO NAME
-13848,-9910,S6,NO NAME
-11252,-3942,S6,NO NAME
-4093,-3720,S6,NO NAME
-14857,-14089,S6,NO NAME
-17190,2752,S6,NO NAME
-19479,-1177,S6,NO NAME
-16885,7453,S7,NO NAME
-4945,-4679,S7,NO NAME
-18639,-260,S7,NO NAME
-21862,1074,S7,NO NAME
-17415,-8731,S7,NO NAME
-2607,-1081,S7,NO NAME
-16226,7941,S7,NO NAME
-22349,2804,S7,NO NAME
-22656,4751,S7,NO NAME
-4248,4814,S7,NO NAME
-11785,9286,S7,NO NAME
-14237,-10406,S7,NO NAME
-8197,8138,S7,NO NAME
-15277,-8533,S7,NO NAME
-13149,3509,S7,NO NAME
-4926,5489,S7,NO NAME
-18890,8666,S7,NO NAME
-5207,-5833,S7,NO NAME
-8013,7367,S7,NO NAME
-5679,5671,S7,NO NAME
-21115,-1037,S7,NO NAME
-11948,-10637,S7,NO NAME
-18232,1834,S7,NO NAME
-3884,-4345,S7,NO NAME
-22735,2952,S8,NO NAME
-26050,-3466,S8,NO NAME
-19562,-36,S8,NO NAME
-22534,-1325,S8,NO NAME
-13001,7166,S8,NO NAME
-21353,-3255,S8,NO NAME
-5171,5570,S8,NO NAME
-2621,2380,S8,NO NAME
-24084,102,S8,NO NAME
-19139,-8189,S8,NO NAME
-10126,8654,S8,NO NAME
-4388,2401,S8,NO NAME
-4978,-5177,S8,NO NAME
-18079,1189,S8,NO NAME
-12148,10784,S8,NO NAME
-21540,3757,S8,NO NAME
-7652,-7268,S8,NO NAME
-8275,7718,S8,NO NAME
-13406,-12475,S8,NO NAME
-9559,-8651,S8,NO NAME
-15879,-9357,S8,NO NAME
-17530,-4957,S8,NO NAME
-13512,-10208,S8,NO NAME
-20623,8232,S8,NO NAME
-3179,-2966,S9,NO NAME
-9841,8024,S9,NO NAME
-4644,-1644,S9,NO NAME
-14702,4018,S9,NO NAME
-1785,1649,S9,NO NAME
-9736,-4375,S9,NO NAME
-5462,4327,S9,NO NAME
-9003,6971,S9,NO NAME
-467,175,S9,NO NAME
-17177,-2397,S9,NO NAME
-11598,-3128,S9,NO NAME
-6041,6121,S9,NO NAME
-8574,7897,S9,NO NAME
-2871,3241,S9,NO NAME
-13014,-5967,S9,NO NAME
-15796,-2460,S9,NO NAME
-12631,3340,S9,NO NAME
-792,119,S9,NO NAME
-2803,-2343,S9,NO NAME
-2354,2455,S9,NO NAME
