Col1,Col2,Actual,Predicted
-10251,9542,1,1
-11406,-9474,1,1
-21949,-162,1,1
-15837,-5272,1,1
-16324,-8600,1,1
-24380,-3779,1,1
-20193,-9639,1,1
-20545,-80,1,1
-5701,5439,1,1
-12044,11014,1,1
-23079,1661,1,1
-9928,4021,1,1
-15536,-12702,1,1
-5345,-4818,1,1
-19392,-3285,1,1
-9927,-7331,1,1
-13061,-11083,1,1
-9632,-9707,1,1
-20074,6603,1,1
-7816,7780,1,1
-15924,-133,1,1
-16584,7144,1,1
-4240,2931,1,1
-4287,-2200,1,1
-14234,9497,2,1
-4194,4524,2,1
-1893,1391,2,1
-7416,6763,2,1
-17058,-5256,2,1
-11948,-10527,2,1
-2323,-2297,2,1
-1523,1456,2,1
-18862,1767,2,1
-1567,-408,2,1
-3560,3693,2,1
-6791,-7633,2,1
-18231,-2001,2,1
-6922,-6854,2,1
-15221,-4741,2,1
-13081,-597,2,1
-12925,-7457,2,1
-7815,-7202,2,1
-10174,-9407,2,1
-19541,4079,2,1
-7360,-7963,2,1
-17742,2852,2,1
-14683,6885,2,1
-12110,3073,2,1
-19131,2127,3,1
-17421,8994,3,1
-12373,-8462,3,1
-6451,-6229,3,1
-17886,-4102,3,1
-21378,-7972,3,1
-12651,-9241,3,1
-19425,6686,3,1
-6330,6424,3,1
-11090,9681,3,1
-12605,8464,3,1
-3066,2826,3,1
-21772,-2911,3,1
-1999,-116,3,1
-6698,5056,3,1
-17970,-487,3,1
-17838,-567,3,1
-13903,9844,3,1
-6706,-4973,3,1
-3875,-3105,3,1
-1658,275,3,1
-1852,-76,3,1
-7425,6698,3,1
-1700,657,3,1
-24128,-11027,4,1
-18933,-6022,4,1
-1650,1079,4,1
-17015,15038,4,1
-6787,-5644,4,1
-5426,5582,4,1
-27251,8879,4,1
-28865,-3486,4,1
-9836,-9822,4,1
-8052,8328,4,1
-13275,12181,4,1
-25205,-5991,4,1
-21536,-5802,4,1
-23839,6159,4,1
-12890,-10800,4,1
-18888,-10090,4,1
-18253,-15038,4,1
-14679,4929,4,1
-7803,8298,4,1
-18084,-12715,4,1
-21536,2310,4,1
-2721,2820,4,1
-3440,2919,4,1
-27031,-3690,4,1
-13793,-4813,5,1
-3928,-2814,5,1
-11706,-10121,5,1
-12559,11358,5,1
-7523,-8459,5,1
-18978,-50,5,1
-21325,3539,5,1
-4900,5183,5,1
-6926,7052,5,1
-11598,3296,5,1
-15582,-4690,5,1
-17054,-8006,5,1
-5055,-5601,5,1
-4389,-5095,5,1
-19986,2369,5,1
-14176,-11932,5,1
-20481,-126,5,1
-4609,5130,5,1
-17998,-9100,5,1
-18417,5894,5,1
-3423,3361,5,1
-17407,-320,5,1
-16285,2237,5,1
-10331,-9301,5,1
-15355,11560,6,1
-19875,2056,6,1
-16902,-2604,6,1
-17477,8664,6,1
-13979,-4849,6,1
-18812,99,6,1
-10979,-11693,6,1
-17464,55,6,1
-10321,-10342,6,1
-18317,4055,6,1
-18454,-5131,6,1
-6804,-7439,6,1
-12127,9368,6,1
-16345,-8120,6,1
-15637,8392,6,1
-3950,-324,6,1
-20354,-3789,6,1
-9738,8959,6,1
-13848,-9910,6,1
-11252,-3942,6,1
-4093,-3720,6,1
-14857,-14089,6,1
-17190,2752,6,1
-19479,-1177,6,1
-16885,7453,7,1
-4945,-4679,7,1
-18639,-260,7,1
-21862,1074,7,1
-17415,-8731,7,1
-2607,-1081,7,1
-16226,7941,7,1
-22349,2804,7,1
-22656,4751,7,1
-4248,4814,7,1
-11785,9286,7,1
-14237,-10406,7,1
-8197,8138,7,1
-15277,-8533,7,1
-13149,3509,7,1
-4926,5489,7,1
-18890,8666,7,1
-5207,-5833,7,1
-8013,7367,7,1
-5679,5671,7,1
-21115,-1037,7,1
-11948,-10637,7,1
-18232,1834,7,1
-3884,-4345,7,1
-22735,2952,8,1
-26050,-3466,8,1
-19562,-36,8,1
-22534,-1325,8,1
-13001,7166,8,1
-21353,-3255,8,1
-5171,5570,8,1
-2621,2380,8,1
-24084,102,8,1
-19139,-8189,8,1
-10126,8654,8,1
-4388,2401,8,1
-4978,-5177,8,1
-18079,1189,8,1
-12148,10784,8,1
-21540,3757,8,1
-7652,-7268,8,1
-8275,7718,8,1
-13406,-12475,8,1
-9559,-8651,8,1
-15879,-9357,8,1
-17530,-4957,8,1
-13512,-10208,8,1
-20623,8232,8,1
-3179,-2966,9,1
-9841,8024,9,1
-4644,-1644,9,1
-14702,4018,9,1
-1785,1649,9,1
-9736,-4375,9,1
-5462,4327,9,1
-9003,6971,9,1
-467,175,9,1
-17177,-2397,9,1
-11598,-3128,9,1
-6041,6121,9,1
-8574,7897,9,1
-2871,3241,9,1
-13014,-5967,9,1
-15796,-2460,9,1
-12631,3340,9,1
-792,119,9,1
-2803,-2343,9,1
-2354,2455,9,1
-15969,-394,9,1
-10589,-11,9,1
-14445,-3718,9,1
-8891,5954,9,1
-12270,9877,10,1
-15298,9927,10,1
-12573,-4541,10,1
