Col1,Col2,Actual,Predicted
3,3,S1,S5
148,152,S1,S23
71,74,S1,S20
92,95,S1,S20
122,121,S1,S19
114,116,S1,S13
153,157,S1,S20
64,67,S1,S1
2,2,S1,S19
1,1,S1,S32
57,60,S1,S13
11,14,S1,S23
174,180,S1,S35
134,134,S1,S19
82,85,S1,S26
96,93,S1,S6
156,156,S1,S20
157,145,S1,S20
17,18,S1,S13
2,2,S1,S16
39,38,S1,S19
11,16,S1,S5
2,2,S1,S23
74,78,S1,S25
4,4,S2,S18
3,3,S2,S2
3,3,S2,S2
2,2,S2,S32
109,115,S2,S38
169,174,S2,S23
156,142,S2,S19
3,3,S2,S12
51,56,S2,S32
137,136,S2,S33
3,3,S2,S23
214,208,S2,S2
83,87,S2,S32
103,104,S2,S16
93,96,S2,S32
44,47,S2,S32
108,114,S2,S5
140,140,S2,S2
136,142,S2,S32
37,43,S2,S7
153,148,S2,S32
36,40,S2,S32
3,3,S2,S5
5,5,S2,S6
0,1,S3,S2
0,3,S3,S19
10,10,S3,S3
36,27,S3,S35
11,5,S3,S3
35,17,S3,S3
21,19,S3,S19
2,9,S3,S6
0,0,S3,S3
0,0,S3,S19
0,0,S3,S1
0,0,S3,S23
28,19,S3,S3
6,3,S3,S6
0,0,S3,S3
2,2,S3,S3
7,9,S3,S6
2,1,S3,S19
7,7,S3,S3
21,28,S3,S19
0,0,S3,S16
0,0,S3,S22
0,0,S3,S3
0,0,S3,S3
203,210,S4,S11
131,133,S4,S32
6,5,S4,S11
3,3,S4,S16
179,183,S4,S18
4,4,S4,S4
51,52,S4,S20
141,146,S4,S21
254,255,S4,S11
3,4,S4,S4
3,3,S4,S36
165,165,S4,S21
133,133,S4,S19
46,46,S4,S1
221,225,S4,S35
150,153,S4,S6
245,248,S4,S5
5,5,S4,S11
4,4,S4,S2
183,187,S4,S19
98,103,S4,S1
4,4,S4,S4
3,4,S4,S6
165,164,S4,S35
91,91,S5,S6
254,245,S5,S32
185,190,S5,S35
7,6,S5,S18
255,255,S5,S35
86,93,S5,S19
46,45,S5,S16
6,6,S5,S26
7,6,S5,S5
5,6,S5,S19
93,95,S5,S6
162,167,S5,S35
122,122,S5,S26
235,222,S5,S35
53,58,S5,S6
189,197,S5,S11
76,75,S5,S6
6,5,S5,S5
163,169,S5,S11
14,14,S5,S6
5,6,S5,S19
55,59,S5,S19
29,31,S5,S6
137,140,S5,S11
4,3,S6,S35
31,31,S6,S14
50,52,S6,S6
4,4,S6,S5
67,71,S6,S18
45,47,S6,S5
235,238,S6,S6
64,66,S6,S33
152,148,S6,S6
11,12,S6,S5
88,90,S6,S5
142,141,S6,S6
3,3,S6,S6
129,129,S6,S35
4,3,S6,S5
5,7,S6,S6
89,93,S6,S5
3,3,S6,S5
116,113,S6,S38
103,109,S6,S33
36,45,S6,S11
194,196,S6,S6
11,11,S6,S5
61,60,S6,S5
8,6,S7,S19
145,143,S7,S11
64,53,S7,S23
70,71,S7,S1
157,149,S7,S11
6,7,S7,S9
4,5,S7,S19
39,37,S7,S20
39,42,S7,S20
3,3,S7,S26
4,3,S7,S19
142,141,S7,S18
3,3,S7,S7
121,123,S7,S20
13,12,S7,S19
4,3,S7,S2
5,4,S7,S32
102,100,S7,S23
3,2,S7,S7
2,3,S7,S2
84,91,S7,S20
147,147,S7,S19
51,54,S7,S7
168,144,S7,S7
26,29,S8,S27
69,63,S8,S20
39,44,S8,S2
41,47,S8,S2
1,1,S8,S11
66,68,S8,S2
2,2,S8,S6
2,2,S8,S7
41,48,S8,S4
107,114,S8,S8
1,1,S8,S2
1,1,S8,S2
147,131,S8,S23
31,38,S8,S6
1,2,S8,S22
23,26,S8,S2
129,137,S8,S8
