Col1,Col2,Actual,Predicted
3,3,S1,S1
148,152,S1,S1
71,74,S1,S1
92,95,S1,S1
122,121,S1,S30
114,116,S1,S1
153,157,S1,S1
64,67,S1,S1
2,2,S1,S1
1,1,S1,S1
57,60,S1,S1
11,14,S1,S4
174,180,S1,S1
134,134,S1,S5
82,85,S1,S1
96,93,S1,S1
156,156,S1,S1
157,145,S1,S1
17,18,S1,S1
2,2,S1,S1
39,38,S1,S1
11,16,S1,S1
2,2,S1,S9
74,78,S1,S25
4,4,S2,S2
3,3,S2,S2
3,3,S2,S2
2,2,S2,S2
109,115,S2,S2
169,174,S2,S2
156,142,S2,S23
3,3,S2,S13
51,56,S2,S2
137,136,S2,S11
3,3,S2,S19
214,208,S2,S2
83,87,S2,S2
103,104,S2,S2
93,96,S2,S2
44,47,S2,S2
108,114,S2,S2
140,140,S2,S23
136,142,S2,S2
37,43,S2,S2
153,148,S2,S16
36,40,S2,S2
3,3,S2,S2
5,5,S2,S16
0,1,S3,S3
0,3,S3,S3
10,10,S3,S3
36,27,S3,S3
11,5,S3,S3
35,17,S3,S3
21,19,S3,S3
2,9,S3,S3
0,0,S3,S3
0,0,S3,S3
0,0,S3,S3
0,0,S3,S3
28,19,S3,S3
6,3,S3,S3
0,0,S3,S3
2,2,S3,S3
7,9,S3,S3
2,1,S3,S3
7,7,S3,S3
21,28,S3,S3
0,0,S3,S8
0,0,S3,S8
0,0,S3,S9
0,0,S3,S3
203,210,S4,S4
131,133,S4,S2
6,5,S4,S13
3,3,S4,S4
179,183,S4,S21
4,4,S4,S1
51,52,S4,S4
141,146,S4,S4
254,255,S4,S1
3,4,S4,S2
3,3,S4,S4
165,165,S4,S7
133,133,S4,S1
46,46,S4,S4
221,225,S4,S4
150,153,S4,S4
245,248,S4,S4
5,5,S4,S1
4,4,S4,S1
183,187,S4,S4
98,103,S4,S1
4,4,S4,S1
3,4,S4,S21
165,164,S4,S4
91,91,S5,S11
254,245,S5,S28
185,190,S5,S5
7,6,S5,S5
255,255,S5,S5
86,93,S5,S5
46,45,S5,S5
6,6,S5,S2
7,6,S5,S5
5,6,S5,S5
93,95,S5,S5
162,167,S5,S5
122,122,S5,S16
235,222,S5,S32
53,58,S5,S5
189,197,S5,S5
76,75,S5,S5
6,5,S5,S2
163,169,S5,S5
14,14,S5,S5
5,6,S5,S21
55,59,S5,S5
29,31,S5,S5
137,140,S5,S5
4,3,S6,S6
31,31,S6,S6
50,52,S6,S6
4,4,S6,S6
67,71,S6,S6
45,47,S6,S6
235,238,S6,S6
64,66,S6,S6
152,148,S6,S6
11,12,S6,S6
88,90,S6,S6
142,141,S6,S6
3,3,S6,S6
129,129,S6,S6
4,3,S6,S6
5,7,S6,S1
89,93,S6,S6
3,3,S6,S6
116,113,S6,S6
103,109,S6,S26
36,45,S6,S20
194,196,S6,S6
11,11,S6,S6
61,60,S6,S6
8,6,S7,S2
145,143,S7,S12
64,53,S7,S7
70,71,S7,S7
157,149,S7,S7
6,7,S7,S12
4,5,S7,S7
39,37,S7,S7
39,42,S7,S7
3,3,S7,S2
4,3,S7,S7
142,141,S7,S1
3,3,S7,S1
121,123,S7,S7
13,12,S7,S7
4,3,S7,S1
5,4,S7,S7
102,100,S7,S1
3,2,S7,S2
2,3,S7,S7
84,91,S7,S7
147,147,S7,S7
51,54,S7,S7
168,144,S7,S1
26,29,S8,S8
69,63,S8,S8
39,44,S8,S8
41,47,S8,S8
1,1,S8,S8
66,68,S8,S8
2,2,S8,S3
2,2,S8,S8
41,48,S8,S8
107,114,S8,S8
1,1,S8,S8
1,1,S8,S3
147,131,S8,S3
31,38,S8,S14
1,2,S8,S8
23,26,S8,S8
129,137,S8,S8
2,2,S8,S8
168,169,S8,S8
102,100,S8,S8
103,113,S8,S8
65,65,S8,S8
122,124,S8,S8
5,5,S8,S8
23,26,S9,S9
0,1,S9,S9
0,0,S9,S3
2,1,S9,S9
0,0,S9,S23
1,2,S9,S9
0,0,S9,S9
0,0,S9,S9
0,0,S9,S28
3,3,S9,S9
30,41,S9,S9
0,0,S9,S9
0,0,S9,S9
0,0,S9,S9
19,23,S9,S9
19,10,S9,S9
0,2,S9,S9
1,1,S9,S9
13,11,S9,S9
0,0,S9,S9
4,4,S9,S9
0,0,S9,S9
11,7,S9,S9
0,1,S9,S11
0,0,S10,S10
0,0,S10,S14
24,29,S10,S10
20,27,S10,S12
0,0,S10,S10
39,45,S10,S10
9,13,S10,S10
47,53,S10,S10
60,70,S10,S10
1,3,S10,S10
16,22,S10,S10
1,1,S10,S16
6,9,S10,S10
2,2,S10,S10
0,0,S10,S10
1,2,S10,S10
19,25,S10,S10
22,30,S10,S10
32,33,S10,S1
49,64,S10,S10
61,78,S10,S10
0,0,S10,S10
32,40,S10,S10
0,1,S10,S10
89,96,S11,S2
2,2,S11,S11
3,3,S11,S14
3,4,S11,S12
3,2,S11,S11
2,2,S11,S11
90,89,S11,S5
139,143,S11,S11
2,2,S11,S11
2,2,S11,S11
116,109,S11,S7
28,28,S11,S11
90,90,S11,S11
2,2,S11,S9
2,2,S11,S38
55,56,S11,S11
187,200,S11,S11
80,81,S11,S11
64,69,S11,S2
50,49,S11,S11
3,4,S11,S11
67,73,S11,S11
6,6,S11,S18
108,109,S11,S11
174,175,S12,S12
1,1,S12,S7
5,5,S12,S35
141,142,S12,S12
66,68,S12,S12
255,255,S12,S11
90,95,S12,S10
4,4,S12,S5
47,48,S12,S12
6,7,S12,S12
173,179,S12,S10
0,0,S12,S7
111,112,S12,S12
155,147,S12,S12
8,8,S12,S12
79,80,S12,S12
92,90,S12,S12
142,142,S12,S12
47,48,S12,S12
5,5,S12,S12
5,5,S12,S25
3,3,S12,S12
4,4,S12,S12
187,191,S12,S12
94,100,S13,S2
110,115,S13,S13
6,6,S13,S5
80,84,S13,S13
8,8,S13,S13
253,255,S13,S5
179,182,S13,S5
140,146,S13,S13
253,255,S13,S13
6,7,S13,S2
226,238,S13,S13
255,247,S13,S19
252,253,S13,S12
7,7,S13,S12
7,8,S13,S35
5,6,S13,S13
14,14,S13,S12
8,8,S13,S35
5,5,S13,S38
172,178,S13,S13
6,6,S13,S35
6,6,S13,S19
151,154,S13,S13
81,83,S13,S12
77,81,S14,S14
78,77,S14,S14
22,25,S14,S14
254,255,S14,S11
7,6,S14,S2
9,10,S14,S11
50,55,S14,S14
37,42,S14,S14
2,2,S14,S14
74,80,S14,S14
2,3,S14,S11
129,128,S14,S14
2,3,S14,S21
3,4,S14,S21
4,5,S14,S11
88,88,S14,S11
2,2,S14,S1
1,1,S14,S1
49,52,S14,S14
9,9,S14,S14
135,142,S14,S14
3,3,S14,S14
4,4,S14,S11
109,115,S14,S14
2,4,S15,S15
2,3,S15,S38
10,6,S15,S15
24,28,S15,S15
17,24,S15,S15
5,5,S15,S38
32,33,S15,S15
18,21,S15,S15
4,5,S15,S3
4,3,S15,S11
16,20,S15,S15
5,3,S15,S2
24,27,S15,S6
2,2,S15,S15
4,4,S15,S14
16,14,S15,S15
76,73,S15,S15
3,4,S15,S15
10,9,S15,S15
7,4,S15,S15
7,10,S15,S3
10,8,S15,S15
87,67,S15,S15
27,21,S15,S15
78,77,S16,S16
3,2,S16,S1
75,78,S16,S2
129,129,S16,S2
28,26,S16,S16
54,56,S16,S16
92,95,S16,S16
3,2,S16,S16
58,59,S16,S16
40,40,S16,S16
152,152,S16,S16
232,217,S16,S2
10,9,S16,S16
206,162,S16,S1
80,83,S16,S16
2,2,S16,S16
3,3,S16,S16
196,186,S16,S2
139,136,S16,S19
110,107,S16,S16
2,2,S16,S16
15,9,S16,S23
102,102,S16,S16
209,231,S16,S16
0,0,S17,S9
38,42,S17,S17
22,26,S17,S17
34,56,S17,S17
9,11,S17,S6
0,0,S17,S17
3,4,S17,S14
41,41,S17,S17
0,0,S17,S10
0,1,S17,S9
0,0,S17,S8
25,43,S17,S11
2,4,S17,S9
21,8,S17,S17
17,24,S17,S17
14,19,S17,S17
1,0,S17,S11
29,33,S17,S17
0,0,S17,S14
0,0,S17,S17
0,0,S17,S17
2,5,S17,S12
8,11,S17,S17
0,0,S17,S14
5,5,S18,S7
176,177,S18,S11
6,5,S18,S5
96,102,S18,S5
32,32,S18,S18
188,161,S18,S1
5,4,S18,S5
192,208,S18,S18
30,31,S18,S18
136,143,S18,S11
65,70,S18,S18
146,153,S18,S12
248,237,S18,S1
15,19,S18,S11
6,6,S18,S2
7,7,S18,S12
66,68,S18,S18
66,69,S18,S33
104,110,S18,S11
91,95,S18,S18
69,74,S18,S18
47,50,S18,S18
50,55,S18,S18
55,60,S18,S18
2,2,S19,S19
3,2,S19,S19
74,70,S19,S5
56,56,S19,S5
1,2,S19,S2
155,157,S19,S19
97,98,S19,S11
5,6,S19,S16
2,2,S19,S19
2,2,S19,S11
14,17,S19,S19
5,5,S19,S19
3,3,S19,S19
44,43,S19,S19
56,55,S19,S19
10,10,S19,S19
128,127,S19,S11
3,3,S19,S19
144,146,S19,S38
85,86,S19,S19
109,108,S19,S19
71,70,S19,S19
93,92,S19,S19
2,2,S19,S11
5,4,S20,S20
3,3,S20,S2
52,51,S20,S20
150,148,S20,S13
136,143,S20,S19
25,25,S20,S20
5,6,S20,S10
5,5,S20,S20
4,4,S20,S13
4,4,S20,S6
116,117,S20,S20
132,132,S20,S20
255,255,S20,S26
4,5,S20,S13
60,56,S20,S20
42,42,S20,S20
209,204,S20,S20
170,163,S20,S20
6,6,S20,S21
17,18,S20,S20
4,4,S20,S2
176,175,S20,S20
3,3,S20,S6
5,5,S20,S19
7,7,S21,S21
194,204,S21,S21
223,184,S21,S10
234,242,S21,S21
195,202,S21,S12
255,255,S21,S2
99,97,S21,S2
76,75,S21,S2
78,81,S21,S21
9,8,S21,S12
107,101,S21,S21
10,11,S21,S21
9,8,S21,S18
9,8,S21,S21
9,10,S21,S10
198,197,S21,S21
53,55,S21,S21
159,166,S21,S21
120,118,S21,S21
8,8,S21,S20
96,97,S21,S21
255,255,S21,S22
148,147,S21,S21
10,9,S21,S20
4,5,S22,S22
201,203,S22,S1
81,85,S22,S22
4,4,S22,S2
75,80,S22,S22
23,22,S22,S22
5,5,S22,S2
11,13,S22,S22
30,30,S22,S22
3,5,S22,S2
86,87,S22,S2
58,64,S22,S22
4,3,S22,S2
4,4,S22,S2
2,2,S22,S22
2,2,S22,S22
67,71,S22,S2
31,31,S22,S22
44,46,S22,S22
5,4,S22,S2
90,93,S22,S22
6,6,S22,S2
44,46,S22,S21
6,8,S22,S22
0,0,S23,S9
60,59,S23,S23
72,71,S23,S23
6,8,S23,S23
0,0,S23,S23
2,2,S23,S16
22,25,S23,S23
8,6,S23,S19
0,0,S23,S16
117,111,S23,S23
0,0,S23,S23
62,56,S23,S23
50,47,S23,S23
0,0,S23,S23
33,31,S23,S23
50,46,S23,S23
0,0,S23,S23
94,109,S23,S23
0,0,S23,S11
71,67,S23,S23
99,93,S23,S23
0,0,S23,S7
25,23,S23,S23
34,35,S23,S23
43,55,S24,S24
219,221,S24,S24
7,8,S24,S24
157,154,S24,S24
147,138,S24,S18
38,42,S24,S24
96,99,S24,S24
255,234,S24,S12
2,3,S24,S5
4,5,S24,S5
97,95,S24,S2
134,136,S24,S24
111,114,S24,S24
2,2,S24,S8
5,5,S24,S8
23,26,S24,S24
255,253,S24,S5
108,113,S24,S24
180,178,S24,S5
81,85,S24,S24
9,9,S24,S24
39,45,S24,S24
253,254,S24,S5
3,3,S24,S24
131,130,S25,S1
145,151,S25,S25
5,6,S25,S2
165,172,S25,S25
5,5,S25,S25
91,94,S25,S25
217,230,S25,S1
132,136,S25,S25
255,255,S25,S1
4,5,S25,S1
66,65,S25,S25
60,64,S25,S25
147,150,S25,S22
133,133,S25,S25
5,6,S25,S1
4,4,S25,S2
102,106,S25,S25
110,114,S25,S25
67,69,S25,S25
66,70,S25,S25
116,105,S25,S25
236,243,S25,S1
47,47,S25,S25
1,1,S25,S1
5,5,S26,S6
4,5,S26,S6
175,183,S26,S20
126,130,S26,S20
218,231,S26,S26
147,155,S26,S26
50,54,S26,S26
6,6,S26,S26
3,3,S26,S7
4,4,S26,S26
120,124,S26,S26
4,4,S26,S26
18,20,S26,S26
147,155,S26,S26
91,91,S26,S26
51,53,S26,S26
45,36,S26,S26
138,139,S26,S26
4,5,S26,S26
1,1,S26,S7
79,86,S26,S26
40,41,S26,S26
174,185,S26,S6
40,46,S26,S1
4,4,S27,S1
246,242,S27,S27
4,4,S27,S1
82,84,S27,S27
66,69,S27,S11
94,97,S27,S11
129,133,S27,S27
222,222,S27,S1
5,5,S27,S11
63,65,S27,S27
148,156,S27,S7
94,97,S27,S27
8,9,S27,S11
136,136,S27,S27
6,5,S27,S27
6,5,S27,S2
101,107,S27,S11
255,255,S27,S10
4,4,S27,S1
196,199,S27,S27
89,92,S27,S11
43,44,S27,S11
53,54,S27,S27
43,45,S27,S11
68,71,S28,S28
6,6,S28,S28
7,6,S28,S27
110,112,S28,S28
116,119,S28,S28
125,127,S28,S10
164,168,S28,S10
39,39,S28,S10
47,48,S28,S28
44,47,S28,S28
89,92,S28,S28
137,143,S28,S18
3,3,S28,S28
115,114,S28,S10
113,118,S28,S28
8,8,S28,S18
26,28,S28,S28
7,7,S28,S15
3,4,S28,S28
101,107,S28,S10
8,8,S28,S28
69,69,S28,S10
208,209,S28,S28
98,101,S28,S28
5,5,S29,S11
240,231,S29,S1
95,97,S29,S29
41,40,S29,S29
5,6,S29,S6
6,6,S29,S29
99,102,S29,S29
5,5,S29,S29
6,6,S29,S20
120,113,S29,S29
5,5,S29,S29
5,5,S29,S6
158,151,S29,S29
218,214,S29,S29
24,24,S29,S19
7,7,S29,S6
5,5,S29,S2
8,9,S29,S6
166,166,S29,S11
6,6,S29,S11
99,95,S29,S6
75,76,S29,S29
49,47,S29,S29
39,35,S29,S29
0,0,S30,S30
36,30,S30,S2
42,47,S30,S2
103,107,S30,S30
24,30,S30,S30
41,37,S30,S30
103,84,S30,S1
21,24,S30,S30
0,0,S30,S1
58,68,S30,S30
2,2,S30,S16
1,1,S30,S30
9,11,S30,S2
5,4,S30,S14
0,1,S30,S30
79,89,S30,S30
8,10,S30,S30
36,44,S30,S30
4,4,S30,S3
0,0,S30,S30
0,0,S30,S8
38,39,S30,S30
51,58,S30,S30
53,64,S30,S30
12,12,S31,S31
226,230,S31,S21
224,228,S31,S21
255,255,S31,S11
157,162,S31,S31
14,14,S31,S31
22,21,S31,S31
40,40,S31,S31
183,186,S31,S31
88,88,S31,S31
11,10,S31,S31
187,188,S31,S31
58,59,S31,S31
13,13,S31,S8
6,7,S31,S31
177,176,S31,S31
127,132,S31,S31
6,6,S31,S31
6,7,S31,S31
12,12,S31,S31
12,12,S31,S31
99,100,S31,S31
255,255,S31,S12
90,89,S31,S31
40,43,S32,S32
4,5,S32,S32
148,151,S32,S18
60,63,S32,S32
70,72,S32,S32
223,238,S32,S32
2,2,S32,S32
127,128,S32,S32
110,111,S32,S32
84,86,S32,S5
3,3,S32,S32
88,88,S32,S32
59,62,S32,S32
3,3,S32,S32
4,4,S32,S32
87,88,S32,S32
174,172,S32,S12
141,149,S32,S18
60,59,S32,S32
61,62,S32,S32
4,4,S32,S8
16,18,S32,S32
70,69,S32,S5
37,38,S32,S32
3,3,S33,S1
192,182,S33,S33
72,73,S33,S33
