Col1,Col2,Actual,Predicted
-10251,9542,S1,S1
-11406,-9474,S1,S1
-21949,-162,S1,S1
-15837,-5272,S1,S1
-16324,-8600,S1,S1
-24380,-3779,S1,S1
-20193,-9639,S1,S1
-20545,-80,S1,S1
-5701,5439,S1,S1
-12044,11014,S1,S1
-23079,1661,S1,S1
-9928,4021,S1,S1
-15536,-12702,S1,S1
-5345,-4818,S1,S1
-19392,-3285,S1,S1
-9927,-7331,S1,S1
-13061,-11083,S1,S1
-9632,-9707,S1,S1
-20074,6603,S1,S1
-7816,7780,S1,S1
-15924,-133,S1,S1
-16584,7144,S1,S1
-4240,2931,S1,S9
-4287,-2200,S1,S25
-14234,9497,S2,S18
-4194,4524,S2,S1
-1893,1391,S2,S19
-7416,6763,S2,S2
-17058,-5256,S2,S2
-11948,-10527,S2,S1
-2323,-2297,S2,S14
-1523,1456,S2,S12
-18862,1767,S2,S1
-1567,-408,S2,S11
-3560,3693,S2,S11
-6791,-7633,S2,S11
-18231,-2001,S2,S2
-6922,-6854,S2,S14
-15221,-4741,S2,S11
-13081,-597,S2,S20
-12925,-7457,S2,S20
-7815,-7202,S2,S19
-10174,-9407,S2,S22
-19541,4079,S2,S2
-7360,-7963,S2,S5
-17742,2852,S2,S2
-14683,6885,S2,S9
-12110,3073,S2,S16
-19131,2127,S3,S3
-17421,8994,S3,S1
-12373,-8462,S3,S3
-6451,-6229,S3,S8
-17886,-4102,S3,S3
-21378,-7972,S3,S1
-12651,-9241,S3,S3
-19425,6686,S3,S3
-6330,6424,S3,S38
-11090,9681,S3,S2
-12605,8464,S3,S9
-3066,2826,S3,S3
-21772,-2911,S3,S3
-1999,-116,S3,S8
-6698,5056,S3,S2
-17970,-487,S3,S3
-17838,-567,S3,S9
-13903,9844,S3,S1
-6706,-4973,S3,S9
-3875,-3105,S3,S8
-1658,275,S3,S3
-1852,-76,S3,S8
-7425,6698,S3,S9
-1700,657,S3,S3
-24128,-11027,S4,S4
-18933,-6022,S4,S7
-1650,1079,S4,S13
-17015,15038,S4,S37
-6787,-5644,S4,S10
-5426,5582,S4,S1
-27251,8879,S4,S4
-28865,-3486,S4,S21
-9836,-9822,S4,S7
-8052,8328,S4,S2
-13275,12181,S4,S1
-25205,-5991,S4,S7
-21536,-5802,S4,S4
-23839,6159,S4,S1
-12890,-10800,S4,S28
-18888,-10090,S4,S13
-18253,-15038,S4,S21
-14679,4929,S4,S25
-7803,8298,S4,S1
-18084,-12715,S4,S21
-21536,2310,S4,S1
-2721,2820,S4,S1
-3440,2919,S4,S21
-27031,-3690,S4,S21
-13793,-4813,S5,S14
-3928,-2814,S5,S32
-11706,-10121,S5,S12
-12559,11358,S5,S18
-7523,-8459,S5,S32
-18978,-50,S5,S13
-21325,3539,S5,S5
-4900,5183,S5,S1
-6926,7052,S5,S18
-11598,3296,S5,S16
-15582,-4690,S5,S7
-17054,-8006,S5,S10
-5055,-5601,S5,S13
-4389,-5095,S5,S12
-19986,2369,S5,S5
-14176,-11932,S5,S14
-20481,-126,S5,S5
-4609,5130,S5,S20
-17998,-9100,S5,S21
-18417,5894,S5,S2
-3423,3361,S5,S21
-17407,-320,S5,S11
-16285,2237,S5,S5
-10331,-9301,S5,S14
-15355,11560,S6,S26
-19875,2056,S6,S18
-16902,-2604,S6,S19
-17477,8664,S6,S6
-13979,-4849,S6,S20
-18812,99,S6,S6
-10979,-11693,S6,S2
-17464,55,S6,S20
-10321,-10342,S6,S4
-18317,4055,S6,S6
-18454,-5131,S6,S14
-6804,-7439,S6,S6
-12127,9368,S6,S19
