Col1,Col2,Actual,Predicted
-10251,9542,1,1
-11406,-9474,1,1
-21949,-162,1,1
-15837,-5272,1,1
-16324,-8600,1,30
-24380,-3779,1,1
-20193,-9639,1,1
-20545,-80,1,1
-5701,5439,1,1
-12044,11014,1,1
-23079,1661,1,1
-9928,4021,1,4
-15536,-12702,1,1
-5345,-4818,1,5
-19392,-3285,1,1
-9927,-7331,1,1
-13061,-11083,1,1
-9632,-9707,1,1
-20074,6603,1,1
-7816,7780,1,1
-15924,-133,1,1
-16584,7144,1,1
-4240,2931,1,9
-4287,-2200,1,25
-14234,9497,2,2
-4194,4524,2,2
-1893,1391,2,2
-7416,6763,2,2
-17058,-5256,2,2
-11948,-10527,2,2
-2323,-2297,2,23
-1523,1456,2,13
-18862,1767,2,2
-1567,-408,2,11
-3560,3693,2,19
-6791,-7633,2,2
-18231,-2001,2,2
-6922,-6854,2,2
-15221,-4741,2,2
-13081,-597,2,2
-12925,-7457,2,2
-7815,-7202,2,23
-10174,-9407,2,2
-19541,4079,2,2
-7360,-7963,2,16
-17742,2852,2,2
-14683,6885,2,2
-12110,3073,2,16
-19131,2127,3,3
-17421,8994,3,3
-12373,-8462,3,3
-6451,-6229,3,3
-17886,-4102,3,3
-21378,-7972,3,3
-12651,-9241,3,3
-19425,6686,3,3
-6330,6424,3,3
-11090,9681,3,3
-12605,8464,3,3
-3066,2826,3,3
-21772,-2911,3,3
-1999,-116,3,3
-6698,5056,3,3
-17970,-487,3,3
-17838,-567,3,3
-13903,9844,3,3
-6706,-4973,3,3
-3875,-3105,3,3
-1658,275,3,8
-1852,-76,3,8
-7425,6698,3,9
-1700,657,3,3
-24128,-11027,4,4
-18933,-6022,4,2
-1650,1079,4,13
-17015,15038,4,37
-6787,-5644,4,21
-5426,5582,4,1
-27251,8879,4,4
-28865,-3486,4,4
-9836,-9822,4,1
-8052,8328,4,2
-13275,12181,4,4
-25205,-5991,4,7
-21536,-5802,4,1
-23839,6159,4,4
-12890,-10800,4,4
-18888,-10090,4,4
-18253,-15038,4,4
-14679,4929,4,1
-7803,8298,4,1
-18084,-12715,4,4
-21536,2310,4,1
-2721,2820,4,1
-3440,2919,4,21
-27031,-3690,4,4
-13793,-4813,5,11
-3928,-2814,5,28
-11706,-10121,5,5
-12559,11358,5,5
-7523,-8459,5,5
-18978,-50,5,5
-21325,3539,5,5
-4900,5183,5,2
-6926,7052,5,5
-11598,3296,5,5
-15582,-4690,5,5
-17054,-8006,5,5
-5055,-5601,5,16
-4389,-5095,5,32
-19986,2369,5,5
-14176,-11932,5,5
-20481,-126,5,5
-4609,5130,5,2
-17998,-9100,5,5
-18417,5894,5,5
-3423,3361,5,21
-17407,-320,5,5
-16285,2237,5,5
-10331,-9301,5,5
-15355,11560,6,6
-19875,2056,6,6
-16902,-2604,6,6
-17477,8664,6,6
-13979,-4849,6,6
-18812,99,6,6
-10979,-11693,6,6
-17464,55,6,6
-10321,-10342,6,6
-18317,4055,6,6
-18454,-5131,6,6
-6804,-7439,6,6
-12127,9368,6,6
-16345,-8120,6,6
-15637,8392,6,6
-3950,-324,6,1
-20354,-3789,6,6
-9738,8959,6,6
-13848,-9910,6,6
-11252,-3942,6,26
-4093,-3720,6,20
-14857,-14089,6,6
-17190,2752,6,6
-19479,-1177,6,6
-16885,7453,7,2
-4945,-4679,7,12
-18639,-260,7,7
-21862,1074,7,7
-17415,-8731,7,7
-2607,-1081,7,12
-16226,7941,7,7
-22349,2804,7,7
-22656,4751,7,7
-4248,4814,7,2
-11785,9286,7,7
-14237,-10406,7,1
-8197,8138,7,1
-15277,-8533,7,7
-13149,3509,7,7
-4926,5489,7,1
-18890,8666,7,7
-5207,-5833,7,1
-8013,7367,7,2
-5679,5671,7,7
-21115,-1037,7,7
-11948,-10637,7,7
-18232,1834,7,7
-3884,-4345,7,1
-22735,2952,8,8
-26050,-3466,8,8
-19562,-36,8,8
-22534,-1325,8,8
-13001,7166,8,8
-21353,-3255,8,8
-5171,5570,8,3
-2621,2380,8,8
-24084,102,8,8
-19139,-8189,8,8
-10126,8654,8,8
-4388,2401,8,3
-4978,-5177,8,3
-18079,1189,8,14
-12148,10784,8,8
-21540,3757,8,8
-7652,-7268,8,8
-8275,7718,8,8
-13406,-12475,8,8
-9559,-8651,8,8
-15879,-9357,8,8
-17530,-4957,8,8
-13512,-10208,8,8
-20623,8232,8,8
-3179,-2966,9,9
-9841,8024,9,9
-4644,-1644,9,3
-14702,4018,9,9
-1785,1649,9,23
-9736,-4375,9,9
-5462,4327,9,9
-9003,6971,9,9
-467,175,9,28
-17177,-2397,9,9
-11598,-3128,9,9
-6041,6121,9,9
-8574,7897,9,9
-2871,3241,9,9
-13014,-5967,9,9
-15796,-2460,9,9
-12631,3340,9,9
-792,119,9,9
-2803,-2343,9,9
-2354,2455,9,9
-15969,-394,9,9
-10589,-11,9,9
-14445,-3718,9,9
-8891,5954,9,11
-12270,9877,10,10
-15298,9927,10,14
-12573,-4541,10,10
