Col1,Col2,Actual,Predicted
-10251,9542,S1,S1
-11406,-9474,S1,S1
-21949,-162,S1,S1
-15837,-5272,S1,S1
-16324,-8600,S1,S1
-24380,-3779,S1,S1
-20193,-9639,S1,S1
-20545,-80,S1,S1
-5701,5439,S1,S1
-12044,11014,S1,S1
-23079,1661,S1,S1
-9928,4021,S1,S1
-15536,-12702,S1,S1
-5345,-4818,S1,S1
-19392,-3285,S1,S1
-9927,-7331,S1,S1
-13061,-11083,S1,S4
-9632,-9707,S1,S1
-20074,6603,S1,S1
-7816,7780,S1,S1
-15924,-133,S1,S1
-16584,7144,S1,S1
-4240,2931,S1,S9
-4287,-2200,S1,S25
-14234,9497,S2,S2
-4194,4524,S2,S2
-1893,1391,S2,S2
-7416,6763,S2,S2
-17058,-5256,S2,S2
-11948,-10527,S2,S2
-2323,-2297,S2,S2
-1523,1456,S2,S13
-18862,1767,S2,S2
-1567,-408,S2,S11
-3560,3693,S2,S13
-6791,-7633,S2,S2
-18231,-2001,S2,S2
-6922,-6854,S2,S2
-15221,-4741,S2,S2
-13081,-597,S2,S2
-12925,-7457,S2,S2
-7815,-7202,S2,S2
-10174,-9407,S2,S2
-19541,4079,S2,S2
-7360,-7963,S2,S2
-17742,2852,S2,S2
-14683,6885,S2,S2
-12110,3073,S2,S2
-19131,2127,S3,S3
-17421,8994,S3,S3
-12373,-8462,S3,S3
-6451,-6229,S3,S3
-17886,-4102,S3,S3
-21378,-7972,S3,S3
-12651,-9241,S3,S3
-19425,6686,S3,S3
-6330,6424,S3,S3
-11090,9681,S3,S3
-12605,8464,S3,S3
-3066,2826,S3,S3
-21772,-2911,S3,S3
-1999,-116,S3,S3
-6698,5056,S3,S3
-17970,-487,S3,S3
-17838,-567,S3,S3
-13903,9844,S3,S3
-6706,-4973,S3,S3
-3875,-3105,S3,S3
-1658,275,S3,S8
-1852,-76,S3,S8
-7425,6698,S3,S3
-1700,657,S3,S3
-24128,-11027,S4,S4
-18933,-6022,S4,S2
-1650,1079,S4,S17
-17015,15038,S4,S4
-6787,-5644,S4,S4
-5426,5582,S4,S1
-27251,8879,S4,S4
-28865,-3486,S4,S4
-9836,-9822,S4,S4
-8052,8328,S4,S4
-13275,12181,S4,S4
-25205,-5991,S4,S4
-21536,-5802,S4,S4
-23839,6159,S4,S4
-12890,-10800,S4,S2
-18888,-10090,S4,S4
-18253,-15038,S4,S4
-14679,4929,S4,S4
-7803,8298,S4,S4
-18084,-12715,S4,S2
-21536,2310,S4,S4
-2721,2820,S4,S1
-3440,2919,S4,S27
-27031,-3690,S4,S4
-13793,-4813,S5,S5
-3928,-2814,S5,S14
-11706,-10121,S5,S5
-12559,11358,S5,S5
-7523,-8459,S5,S5
-18978,-50,S5,S5
-21325,3539,S5,S5
-4900,5183,S5,S5
-6926,7052,S5,S5
-11598,3296,S5,S5
-15582,-4690,S5,S5
-17054,-8006,S5,S5
-5055,-5601,S5,S5
-4389,-5095,S5,S5
-19986,2369,S5,S5
-14176,-11932,S5,S5
-20481,-126,S5,S5
-4609,5130,S5,S5
-17998,-9100,S5,S5
-18417,5894,S5,S5
-3423,3361,S5,S13
-17407,-320,S5,S5
-16285,2237,S5,S5
-10331,-9301,S5,S5
-15355,11560,S6,S6
-19875,2056,S6,S6
-16902,-2604,S6,S6
-17477,8664,S6,S6
-13979,-4849,S6,S6
-18812,99,S6,S6
-10979,-11693,S6,S6
-17464,55,S6,S6
-10321,-10342,S6,S6
-18317,4055,S6,S6
-18454,-5131,S6,S6
-6804,-7439,S6,S6
-12127,9368,S6,S6
