k,dataset_name,Threads,Time,Distance_measure,Accuracy,Recall,Precision,F1score
3,../../data/Faces95/faces95_train_dataset.csv,1,134.558,manhattan,0.895833,0.919588,0.895833,0.907555
3,../../data/Faces95/faces95_train_dataset.csv,2,66.2954,manhattan,0.895833,0.919588,0.895833,0.907555
3,../../data/Faces95/faces95_train_dataset.csv,4,33.9513,manhattan,0.895833,0.919588,0.895833,0.907555
3,../../data/Faces95/faces95_train_dataset.csv,6,22.8528,manhattan,0.895833,0.919588,0.895833,0.907555
3,../../data/Faces95/faces95_train_dataset.csv,8,20.0932,manhattan,0.895833,0.919588,0.895833,0.907555
3,../../data/Faces95/faces95_train_dataset.csv,10,16.8853,manhattan,0.895833,0.919588,0.895833,0.907555
3,../../data/Faces95/faces95_train_dataset.csv,12,14.2994,manhattan,0.895833,0.919588,0.895833,0.907555
3,../../data/Faces95/faces95_train_dataset.csv,14,12.89,manhattan,0.895833,0.919588,0.895833,0.907555
3,../../data/Faces95/faces95_train_dataset.csv,16,11.3754,manhattan,0.895833,0.919588,0.895833,0.907555
3,../../data/Faces95/faces95_train_dataset.csv,18,12.2386,manhattan,0.895833,0.919588,0.895833,0.907555
3,../../data/Faces95/faces95_train_dataset.csv,20,12.712,manhattan,0.895833,0.919588,0.895833,0.907555
