k,dataset_name,Threads,Time,Distance_measure,Accuracy,Recall,Precision,F1score
40,train_image_dataset.csv,1,4.63559e-310,euclidean,0.8875,0.895833,0.8875,0.891647
40,train_image_dataset.csv,2,3.95253e-322,euclidean,0.8875,0.895833,0.8875,0.891647
40,train_image_dataset.csv,4,0,euclidean,0.8875,0.895833,0.8875,0.891647
40,train_image_dataset.csv,6,4.63559e-310,euclidean,0.8875,0.895833,0.8875,0.891647
40,train_image_dataset.csv,8,6.93774e-310,euclidean,0.8875,0.895833,0.8875,0.891647
40,train_image_dataset.csv,10,1.97626e-323,euclidean,0.8875,0.895833,0.8875,0.891647
40,train_image_dataset.csv,12,6.95293e-310,euclidean,0.8875,0.895833,0.8875,0.891647
40,train_image_dataset.csv,14,4.63559e-310,euclidean,0.8875,0.895833,0.8875,0.891647
40,train_image_dataset.csv,16,3.95253e-322,euclidean,0.8875,0.895833,0.8875,0.891647
40,train_image_dataset.csv,18,6.95293e-310,euclidean,0.8875,0.895833,0.8875,0.891647
40,train_image_dataset.csv,20,6.95293e-310,euclidean,0.8875,0.895833,0.8875,0.891647
